id,source_id,pattern,document,right_summary,hallucinated_summary
23226::Non-factual,23226,Non-factual,আসসালামু আলাইকুম . . মানসিক চাপ কমানোর জন্য এবং অনিয়মিত ঘুমের জন্য প্রায় তিন বছর যাবত আমি রিভোট্রিল 2 এমজি গ্রহণ করে আসছিলাম . . এখন আমি এটা বাদ দিতে চাচ্ছি কিন্তু প্রায় প্রতিদিন গ্রহণ করার ফলে আমি এটার প্রতি আসক্ত হয়ে পড়েছি . . যদি বাদ দেই তাহলে আমার বিভিন্ন রকম পার্শ্ব প্রতিক্রিয়া দেখা দিচ্ছে এবং আমার স্বাভাবিক কাজকর্মে ব্যাঘাত ঘটে এবং নিজের উপর কোনো কন্ট্রোল থাকেনা . . এটা থেকে বের হয়ে আসার উপায় খুঁজে পাচ্ছিনা . . আপনাদের মূল্যবান পরামর্শ আশা করছি,"মানসিক চাপ কমানো এবং অনিয়মিত ঘুমের জন্য তিন বছর যাবত রিভোট্রিল 2 এমজি খাই । এটা খাওয়া বাদ দিতে চাইলে পারি না , কাজে ব্যঘাত ঘটে , নেশার মতো কাজ করে ।","মানসিক চাপ কমানো ও অনিয়মিত ঘুমের জন্য প্রায় চার বছর ধরে রিভোট্রিল ১ এমজি খাই। এখন এটা ছাড়তে গেলে প্রতিদিন মাথা ঘোরা, অস্থিরতা হয়, কাজকর্মে ব্যাঘাত ঘটে এবং নেশার মতো নির্ভরশীল হয়ে পড়েছি।"
17595::Non-factual,17595,Non-factual,"আমার মেয়ে বয়স ১০ বছর প্রায় ১বৎসর যাবৎ বিভিন্ন যায়গায় মেডিসিন , শিশু , কিডনি শেষ শিশুহাসপাতালে পেডিয়েট্রিকস ও সার্জারি বিভাগেও ডাক্তার দেখিয়েছি সকল প্রকার ব্লাড , আলট্রাস্নোগ্রাম ও এন্ডোসকপি করিয়েছি সব রির্পোট নরমাল সব ডাক্তার রির্পোট দেখে শুধু গেসটিকের আর কিমির ঔষধ ছাড়া কিছুই দেয় না আর কিছু খাবারের নিয়ম দেয় তাদের সাজেশন মতই চলি কিন্তুু কিছুতেই পেট ব্যাথা কমে না রাএে ব্যাথা বেশি হয় দিনে কম থাকে ব্যাথা নাভির চারপাশেই থাকে এখন আমরা কি করতে পারি কোথায় গেলে সমাধান পাব জানালে উপকৃত হব ।",বয়স ১০ বছর । রাতে পেট বেশি ব্যাথা হয় কিন্তু দিনে কম হয় । ব্যাথা নাভীর চারপাশে থাকে । কি করনীয় ?,"বয়স ১০ বছর। গত ২ বছর ধরে রাতে পেট বেশি ব্যথা হয়, দিনে কম থাকে। ব্যথা নাভীর চারপাশে থাকে। ঢাকা মেডিকেলেও দেখানো হয়েছে। কী করণীয়?"
2113::Factual Contradiction,2113,Factual Contradiction,"কয়েকমাস যাবত আমি একটু হাটলেই আর হাটতে পারি না , হাটু ফোল্ড করে ফ্লোরে বসতে পারি না , ব্যাথা লাগে । ক্যালসিয়াম জাতিয় ঔষধ ৩ মাস খেয়েছি , কোন উপকার হয়েছে বলে মনর হয়না । এখন কি ঔষধ খাওয়া চালিয়ে যাবো নাকি থেরাপি ডাক্তার দেখাবো বুঝতে পারছি না । পরামর্শ দিলে উপকৃত হতাম ।","বেশি হাঁটতে পারেন না , হাঁটু গেঁড়ে বসতে পারেন না , calcium জাতীয় ওষুধ ৩ মাস খেয়ে উপকার হয়নাই । থেরাপি বা ওষুধ - কী করা যেতে পারে ?","অনেকদিন ধরে স্বাভাবিকভাবে হাঁটতে পারছেন, হাঁটু গেঁড়ে ফ্লোরে বসতেও সমস্যা নেই, ক্যালসিয়াম জাতীয় ওষুধ ৩ মাস খেয়ে উপকার হয়েছে। এখন থেরাপি নাকি ওষুধ বন্ধ করবেন—এ বিষয়ে পরামর্শ চান।"
14379::Factual Contradiction,14379,Factual Contradiction,"আমার স্ত্রীর সিজার হয়েছে এক বছর আগে । ইদানিং পিঠের মাঝখানে মেরুদণ্ডের ডানপাশে প্রচন্ড ব্যাথা করে । বসে নুয়ে তরকারি কাটাকুটি করলে সিজারের সেলাইয়ের ডান পাশে ব্যাথা করে । কিছুক্ষন চিত হয়ে শুয়ে থাকলে ব্যাথা কিছুটা কমে । শুয়া থেকে ওঠে কোনো কাজ করলে আবার ব্যাথা শুরু হয় । এই ব্যাথার জন্য কোনো ঔষধ খায় নাই । উল্লেখ , আমাদের চতুর্থ সন্তান শুধু সিজারে হয় । এক্ষেত্রে কি ঔষধ খেতে হবে ? সবিনয়ে আপনার পরামর্শ চাই ।",১ বছর আগে সিজার হয়েছে । ইদানীং পিঠের মাঝে মেরুদন্ডের ডান পাশে প্রচন্ড ব্যাথা করে । নুয়ে কাজ করলে সিজারের সেলাইয়ের ডান পাশে ব্যাথা করে । কি ওষুধ খেতে হবে ?,১ বছর আগে সিজার হয়েছে। ইদানীং পিঠের মাঝে মেরুদণ্ডের বাম পাশে প্রচণ্ড ব্যথা করে। নুয়ে কাজ করলে সিজারের সেলাইয়ের বাম পাশে ব্যথা কমে যায়। কি ওষুধ খেতে হবে?
12662::Non-factual,12662,Non-factual,"আমার বয়স ২৭ , দীর্ঘদিন যাবৎ আমার লিঙ্গের অন্ডকোষের নিচের চামড়ার ওপর এক ধরনের প্রলেপ পরে , কিছুদিন পর সেটা শুকিয়ে যায় , আর তখন সেখানে হাত দিলে চামড়ার খোসা খোসা অংশ খসে পরে মলিন হয়ে যায় । এভাবে আবার প্রলেপ পরে . . . কিছুদিন পর আবার প্রলেপ শুকিয়ে যায় , ক্রমাগত এই সমস্যা টি আমার দীর্ঘদিন যাবৎ হয়ে আসছে , অনেক দিন আগে একজন এমবিবিএস ডাক্তার এর পরামর্শে ওষুধ খেয়েছিলাম তখন এই সমস্যা টি ভালো হয়ে গিয়েছিলো ! দুঃখের বিষয় হলো ঐ ডাক্তার টি মারা গিয়েছে , আর আমি ঐ প্রেসক্রিপশন টি হারিয়ে ফেলেছি , এখন আমার করণীয় কি ? ধন্যবাদ",বয়স ২৭ । লিঙ্গের অন্ডকোষের নিচের চামড়ায় প্রলেপ পড়ে পরে সেটা শুকিয়ে যায় । পরে খোসা খসে মলিন হয়ে যায় । কি করনীয় ?,"বয়স ২৭। লিঙ্গের অন্ডকোষের নিচের চামড়ায় প্রায় ৬ মাস ধরে সাদা প্রলেপ পড়ে, পরে সেটা শুকিয়ে যায়। এরপর খোসা খসে কালচে মলিন হয়ে যায়। আগে টার্বিনাফিন খেয়ে ভালো হয়েছিল। এখন করণীয় কী?"
21849::Intrinsic,21849,Intrinsic,আমার পা এর সব আঙ্গুল ফুলে উঠে চুলকাই । প্রতিবার শীতেই এই সমস্যা হয় । আঙ্গুলের মঝে পানি জমা অনুভব করি কিছুটা পুড়ে যাওয়া ফোস্করা মত । আবার শীত কোমলে ঠিক হয়ে যাই । প্রচন্ড চুলকায় গরম সেক দিলে একটু ভালো অনুভব করি । এর প্রতিকার কী ? ঔষধ + সাজেশন দিন,শীতে পায়ের আঙুল ফুলে চুলকায় । আঙুলে পানি জমে । পুড়ে যাওয়ার মতো ফোস্কা পড়ে । কি ওষুধ খাবো ও করনীয় কি ?,"শীতকালে দুই পায়ের সব আঙুলে বারবার ফোলা ও তীব্র চুলকানি হয়। আঙুলের ফাঁকে পানিভরা ছোট ছোট ফোস্কা ওঠে, জ্বালাপোড়াও থাকে। গরম সেঁক দিলে কিছুটা আরাম মেলে, পরে নিজে থেকেই সেরে যায়। কী ওষুধ ও করণীয়?"
12229::Factual Contradiction,12229,Factual Contradiction,আমার নাক দিয়ে কোনো গন্ধ পাচ্ছি না সর্দি আছে আজকে ৫ দিন ওষুধ খাচ্ছি নাকের ড্রপ ও দিচ্ছি খাওয়া দাওয়া করতে পারছি সম্যসা হচ্ছে না ! অনেকেই বলছে জে কোনো ঘ্রান না পাওয়া নাকি করোনার লক্ষন একটু জানাবেন আমাকে ! আমার সম্যসা টা কি নরমাল ঠান্ডার জন্য নাকি করোনার জন্য ?,নাকে গন্ধ পাই না ৷ ৫ দিন হলো সর্দি । এটা কি নরমাল ঠান্ডা নাকি করোনার জন্য ?,নাকে সব গন্ধই পাচ্ছেন। ৫ দিন হলো সর্দি নেই। এটা কি নরমাল ঠান্ডা নাকি করোনার জন্য?
7072::Non-factual,7072,Non-factual,স্কিন সমস্যার জন্য কোনো ডাক্তার এর নাম্বার হবে ? ? ? ? আমাদের এলাকায় লক ডাউনের জন্য ঢাকা থেকে ডাক্তার আসেনা সেই ক্ষেতে ডাক্তার দেখাতে পারছিনা স্কিন খুব চুলকাছে আর সাদা সাদা স্পট পড়ছে গলায় আর স্কিনে ১মাস ধরে সমস্যায় ভুগছি অনুগ্রহ করে সহোযোগিতা করুন আমি স্কিন ডাক্তার কাছে কথা বলে ঔষুধ সেবন করতে চাচ্ছি ? ফাংগাল ইনফেকশন কিনা তাও বুঝতেছিনা ঠিক মতো তারজন্য আমি ইসপেসালিসট এর সাথে কথা বলে সেবা প্রদান করতে চাচ্ছিলাম ।,১ মাস যাবত চুলকানি ও গলায় সাদা স্পট । করণীয় কি ?,"দুই মাস যাবত তীব্র চুলকানি ও গলায় সাদা সাদা দাগ, সাথে হাতে ছড়াচ্ছে। করণীয় কি?"
21871::Factual Contradiction,21871,Factual Contradiction,"২০১১ তে আমার ডান বগলে ছোট গুটি হয় । সেটা ২০১৩তে প্রথম ফোঁড়াস্বরুপ পেকে বের হয় । তারপর থেকে বছরে ২ - ৩ বার করে এই ফোঁড়া উঠছে । প্রচন্ড ব্যাথা এবং তীব্র গন্ধযুক্ত পুঁজ বের হয় । এখন দুই বগলেই ফোঁড়া উঠছে নিয়মিত । পিজি হসপিটাল , ঢাকা মেডিকেলে অনেকবার দেখানো হয়েছে । পরীক্ষা নিরীক্ষা করে ডাক্তারের পরামর্শে ড্রেসিং করিয়েছি , মেডিসিনও নিয়েছি । কিন্তু কোন ফল পাচ্ছি না । গত ২ বছর যাবৎ হোমিও চিকিৎসা নিচ্ছি , সেখানেও কোন ফল পাচ্ছি না । এখন কি করতে পারি ? ?",২০১১ তে ডান বগলে ছোট গুটি হয় । ২০১৩ তে ফোড়া হয়ে সেটা পেকে বের হয় । প্রচন্ড ব্যাথা এবং তীব্র গন্ধযুক্ত পুঁজ বের হয় । প্রতি বছর এ দুই বগলে হয় ।,২০১১ তে বাম বগলে ছোট গুটি হয়। ২০১৩ তে ফোড়া না হয়ে সেটা নিজে থেকেই সেরে যায়। তেমন ব্যথা বা গন্ধযুক্ত পুঁজ বের হয় না। প্রতি বছর শুধু এক বগলেই হয়।
3174::Factual Contradiction,3174,Factual Contradiction,"আসসালামু আলাইকুম , , , পায়খানার রাস্তায় অনেক বছর ধরে চুলকায় স্বাভাবিক ভাবতাম , , কিন্তু ৬ / ৭ মাস ধরে দেখছি সেখানে ছোট্ট মাংস্পিন্ড ঝুলে গিয়ে চুলকানি আর মলদ্বারে ক্রমাগত ব্যাথা বাড়িয়ে দিয়েছে । ডাক্তার দেখাতে চাই , , , , অপারেশন ছাড়া কি পরিত্রানের কোন উপায় আছে ? ? ? আর এই রোগ ডাক্তারি বিদ্যায় কোন ক্যাটাগরিতে পড়ে জানাবেন , , , , , তাহলে সেই বিভাগের ভালো কোন ডাক্তারের সাজেশন ও করতে পারেন , , ,","পায়খানার রাস্তায় অনেক বছর ধরে চুলকায় । কিন্তু ৬ / ৭ মাস ধরে ছোট্ট মাংস্পিন্ড ঝুলে গিয়ে চুলকানি আর মলদ্বারে ব্যাথা । , অপারেশন ছাড়া কি পরিত্রানের কোন উপায় আছে ?","পায়খানার রাস্তায় অনেক বছর ধরে কোনো চুলকানি ছিল না। কিন্তু ৬ / ৭ মাস ধরে ছোট্ট মাংসপিণ্ড শুকিয়ে গেছে, তাই মলদ্বারের ব্যথা ও অস্বস্তি কমে গেছে। অপারেশনই একমাত্র পরিত্রানের উপায় কি না জানতে চেয়েছেন।"
16443::Factual Contradiction,16443,Factual Contradiction,"আমার মেয়ের বয়স ৩ মাস । দিনের বেলা ৪ / ৫ ঘন্টা ঘুমায় , আবার সন্ধ্যা ৭ টায় ঘুমায় রাত ১১ / ১২ টায় জেগে উঠে , আর ঘুমায় না , বাকীরাত জেগে থাকে , হাল্কা কান্নাকাটিও করে , আবার ভোর ৪ / ৫য়ার দিকে ঘুম যায় । এমতাবস্থায় করণীয় কি ? জানালে খুশী হব ।",বয়স ৩ মাস । রাতে জেগে থাকে । দিনের বেশিরভাগ সময় ঘুমায় । কান্না করে । কি করনীয় ?,বয়স ৩ মাস। রাতে ভালো ঘুমায়। দিনের বেশিরভাগ সময় জেগে থাকে। কান্নাকাটি করে না। কি করণীয়?
6078::Non-factual,6078,Non-factual,"আমার মায়ের বয়স ৬০ বছর । তিনি পূর্বে থেকে উচ্চ রক্তচাপ , ডায়াবেটিস ও এ্যাজমার রোগী । উচ্চ রক্তচাপের জন্য তিনি প্রতি রাতে একটা করে এনজিলক * ৫০ খায় । কাল সকালে উচ্চরক্তচাপ বেশি মনে হওয়ায় ও শরীর খারাপ লাগায় কাল সকালে আবার এনজিলক * ৫০ আরো একটি খায় এবং রাতে আরেকটি খায় । অর্থাৎ কাল এনজিলক * ৫০ দুটি খেয়েছিল । কাল দিনে প্রচুর ঘুম হয়েছিল । আজ ভোর রাতে হঠাৎ অসুস্থ অনুভব করায় ও সামান্য বমি সকাল ৭ টায় রক্তচাপ পরিমাপ করে দেখা যায় ১০০ / ১৬০ এবং ডায়াবেটিস খালি পেটে ৮ . ৬ । তাই সকাল ৭ টায় গ্যাস্টিকের ঔষধ , তারপর এনজিলক * ৫০ ও ডায়াবেটিসের ঔষধ খায় । সকাল ১১ টায় গোসল করার পর থেকে এখন বমি ও প্রচন্ড মাথা ঘুরতে থাকে । এখন কি করনীয় ?","বয়স ৬০ । উচ্চ রক্তচাপ , ডায়াবেটিস ও এ্যাজমা আছে । উচ্চ রক্তচাপের জন্য প্রতি রাতে একটা করে এনজিলক * ৫০ খায় । কাল উচ্চরক্তচাপ বেশি মনে হওয়ায় দুটি খেয়েছিল । রক্তচাপ ১০০ / ১৬০ এবং ডায়াবেটিস খালি পেটে ৮ . ৬ । এখন বমি ও প্রচন্ড মাথা ঘুরছে ।","বয়স ৬০। উচ্চ রক্তচাপ, ডায়াবেটিস ও এ্যাজমা আছে। উচ্চ রক্তচাপের জন্য প্রতি রাতে একটা করে এনজিলক ৫০ খায়। কাল চাপ বেশি মনে হওয়ায় তিনটি খেয়েছিল। রক্তচাপ ১১০/১৭০ এবং খালি পেটে সুগার ৯.২। এখন বমি, প্রচণ্ড মাথা ঘোরা"
15893::Intrinsic,15893,Intrinsic,আমার ঘন ঘন প্রসাব হয় এবং প্রসাবটা ক্লিয়ার হয় না । এই সমস্যা আমার প্রায় চার পাঁচ বছর ধরে । কেয়ক বার ডাক্তার দেখিয়েছি তারা রক্তের কিটেনাইন টেষ্ট দিছে প্রতিবারই ১ . ২ আসছে । সর্বশেষ গত বছর করিয়েছি তাও ১ . ৩ আসছে । আমি দিনে তিন লিটারের মত পানি পান করি । তাছাড়া এই প্রসাবের জন্য শরীরে অন্য কোন সমস্যা নেই । এমতাবস্থায় আমি কি করতে পারি ।,৪ / ৫ বছর হলো ঘন ঘন প্রস্রাব হয় ও প্রস্রাব ক্লিয়ার না । রক্তের কিটেনাইন টেস্ট ১ . ২ ও . ১ . ৩ । কি করনীয় ?,"প্রায় ৬ / ৭ বছর ধরে ঘন ঘন প্রস্রাব হচ্ছে এবং প্রস্রাবে ঝাপসা ভাব আছে। কয়েকবার পরীক্ষায় রক্তের ক্রিয়েটিনিন ১.৫-এর কাছাকাছি এসেছে। দিনে প্রায় ৪ লিটার পানি পান করি, তবুও সমস্যা রয়ে গেছে। কী করণীয়?"
