id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,is_hallucinated,raw_response
bengali-6681403982104856121-1::comprehension,bengali-6681403982104856121-1,comprehension,"Motiur Rahman 1941 saler 29 October Puran Dhakar 109, Aga Sadek Roder ""Mobarak Lodge""-e jonmogrohon koren. Tar poitrik nibash Narsingdi jeler Raipura thanar Ramnagar grame. Ja ekhon Motinagar name porichito. 9 bhai o 2 boner moddhe tini chilen 6th. Tar baba Moulovi Abdus Samad, ma Syeda Mobarakunnesa Khatun. Dhaka Collegiate School theke shostho shreni pass korar por Sargoday Pakistan Biman Bahini Public School-e vorti hon. Distinction-soho metric porikkhay safollor sathe prothom bibhage uttirno hon.",Birshreshtho Flight Lieutenant Matiur Rahman er babar nam ki?,Moulovi Abdus Samad,Birshreshtho Flight Lieutenant Matiur Rahman er babar nam chhilo Syed Ahmed Rahman.,yes,yes
bengali--1831213595878006436-0::factualness,bengali--1831213595878006436-0,factualness,E-ink ba electrophoretic ink ek dhoroner electronic kagoj ba porda ja E Ink Corporation namok ekta protisthan kortik shilpojatokrito. MIT Media Lab shorboprothom E-ink projukti niye gobeshona shuru kore. Porobortite 1997 sale MIT-er E-ink gobeshona prokolper upor vitti kore E Ink Corporation protishthito hoy. 1996 saler ek patent onujayi Joseph Jacobson ebong Barrett Comiskey-ke E-ink projuktir udbhabok hisebe shwikrity deya hoyeche.[1],E Ink Corporation-er protisthata ke?,Joseph Jacobson ebong Barrett Comiskey,Russ Wilcox ebong JD Albert,yes,yes
bengali-3388903986057254256-1::specificity,bengali-3388903986057254256-1,specificity,Alchi Bouddhobiharer protishthata hisebe Rin-chen-bzang-po (jibonkalo: 958-1055) namok bikhyato Tibboti Bouddho ponditer ullekh kora hoy. Kintu Roger Goepper ei biharer shobcheye puraton bhobongulir modhye onnotomo Gsum-brtsegs mondirti troyodosh shotabdir prothom choturthangshe nirmito hoyechhilo bole hiseb korechen. Ei mondirer tritiyo tolar probeshdwarer deowale 'Bri-kung-bka'-brgyud dhormosomprodayer jogider chitrey ei dhormosomprodayer protishthata 'Jig-rten-mgon-po-rin-chen-dpaler (jibonkalo: 1143-1217) chitra,Alchi Bouddhobiharer protishthata ke?,Rin-chen-bjang-po,Alchi Bouddhobiharer protishthata shombhoboto Jig-rten-mgon-po-rin-chen-dpal.,yes,yes
bengali-9180741355773022793-4::specificity,bengali-9180741355773022793-4,specificity,"Android Incorporated protistha hoyechilo 2003 saler October-e Palo Alto, California-y, protisthata Andy Rubin (Danger-er sho-protisthata)[22], Rich Miner (Wildfire Communications, Incorporated-er sho protisthata)[23], Nick Sears (T-Mobile-er sabek Vice President)[24], Nick Sears (T-Mobile-er prakton Vice President) ebong Chris White (WebTV-r design ebong interface prodhan)[25]. Jehetu tara bibhinno protisthane niyojito chilen tai Android-er karyokrom cholto onekta gopone. Protisthan theke eta bola hoto je tara shudhu mobile-er ekta software-er upor kaj korchen. Company-r prathomik uddeshyo chilo digital camera-r jonno ekta unnoto maner operating system toiri kora. Jodio pore tara bujhte paren device-tir bajar toto b",iOS mobile operating system ta kobe chalu hoy?,2003 shale,iOS mobile operating system ta prothom dike 2003 shaler October-e Palo Alto-te chalu hoy bole dhora hoy.,yes,yes
bengali-8394231526456964839-1::specificity,bengali-8394231526456964839-1,specificity,Mohiuddin Jahangir 1949 saler 7 March Barishal jeler Babuganj upojelar Rahimganj grame jonmogrohon koren. Tar pita Abdul Motaleb Hawlader chilen krishok ebong ma Safia Begum chilen grihini. Mohiuddinra tin bon tin bhai.[2] Dada Abdur Rahim Hawlader chilen protapshali bekti. Pitar arthik dainyotar karone matro sare tin bochor boyose mamar bari Muladi upojelar Patarchar grame jan Jahangir. Patarchar Sarkari Prathomik Bidyaloye 1953 sale tar shikkhajiboner suchona hoy. Muladi Mahmud Jan Pilot Uchcho Bidyaloy theke 1964 sale biggan bibhage matriculation pass koren. 1966 te tini Barishal B.M (Brojomohon) College,Bangladesher shohid muktijoddha Mohiuddin Jahangirer babar nam ki?,Abdul Motaleb Hawlader,Mohiuddin Jahangirer babar nam shombhoboto Abdur Rahim Hawlader chhilo.,yes,yes
bengali-2005469134674641797-1::specificity,bengali-2005469134674641797-1,specificity,Rangamati jelar mot ayoton 6116.13 borgo kilometer. [1] Eti Bangladesher brihottom jela.,Parbotto jela Rangamati shohore mot ayoton koto?,6116.13 borgo kilometer,Rangamati shohorer ayoton prai 6 hajar borgo kilometer.,no,no
bengali-2658236964036018978-3::comprehension,bengali-2658236964036018978-3,comprehension,"Drishshoman alo bornali bad dile toritchoumbok bornali prothom abishkar koren William Herschel. Tini 1800 sale obolohit bikiron (infrared) abishkar koren [4]. Prism dara bichchurito alok bornalir bibhinno borner tapmatra tini thermometer diye porjobekkhon korchilen. Shei shomoy tini lokkho koren, bornalite tapmatra shorbadhik hoy drishshoman lal born otikrom kore. Tini ei shiddhante uponito hon je, tapmatra poribortoner karon holo ""calorific ray"" ba ""tap utpadonkari torongo"" - ja alor nay ekprokar torongo, kintu dekha jay na.",Toritchoumbok bornali prothom abishkar korechilen ke?,William Herschel,James Clerk Maxwell,yes,yes
bengali--8638982311668751103-0::inference,bengali--8638982311668751103-0,inference,"Tribhuvan antorjatik bimanbondor (Nepali: Tribhuvan Antarrashtriya Vimanasthala, IATA: KTM, ICAO: VNKT) Nepal-er Kathmandu-te obosthito antorjatik bimanbondor. Eti shohorer kendrosthol theke choy kilometer dure Kathmandu upottyakay obosthito. Eti Nepal-er ekmatro antorjatik bimanbondor ebong 1949 sal theke ekta biman ghati hisebe kaj koreche. Eti Raja Mahendra 1955 sale uddhodhon koren ebong 1964 sale bortoman name porichito hoy. Shurute eti ghaser runway chilo, 1957 sale concrete-er astaron sthapon kora hoy ebong besh koyekbar somprosaron kora hoy. Tribhuvane prothom jet biman name 1967 sale ebong",Tribhuvan antorjatik bimanbondortir udbodhon ke koren?,Raja Mahendra,Tribhuvan antorjatik bimanbondor-ta mone hoy 1964 sale Raja Birendra udbodhon koren.,yes,yes
bengali-1723011166667196429-2::specificity,bengali-1723011166667196429-2,specificity,Halaku Khan chilen Chengeis Khaner onnotomo putro Toluiyer shontan. Tar ma Sorgaghtani Beki chilen ekjon probhabshali Kerait shahjadi. Sorgaghtani chilen ekjon Nestorian Khrishtan. Halaku Khaner stri Dokuz Khatun ebong tar ghonishto bondhu o senapati Kitbukao Khrishtan chilen. Mrityur agomuhurte Halaku Khan Bouddhodhormo grohon korechilen bole jana jay.[1][2] Koyekti Bouddho mondir nirmon theke Bouddhodhorme tar agroher proman pawa jay.[3],Halaku Khaner strir nam ki chilo?,Dokuj Khatun,Halaku Khaner stri shombhoboto Sorgaghtani Beki chilen.,yes,yes
bengali-1411582546196272359-27::comprehension,bengali-1411582546196272359-27,comprehension,Turshker jonoshonkha pray sat koti 15 lakh.[68] Deshtir jonmohar gore 1 doshomik 31.[69] Proti borgokilomitare er jonoshonkha 92 jon. Er moddhe shohore boshobash kore 70 doshomik 5 jon. 15 theke 64 bochor boyoshi lok royeche 66 doshomik 5 shotangsho. Shunno theke 14 bochore boyoshi loker shonkha 26 doshomik 4 shotangsho. 65 bochorer beshi boyoshi loker shonkha 7 doshomik 1 shotangsho.[70] CIA Factbook onujayi Turki purusher gor ayu 70 doshomik 67 bochor o mohilader gor ayu 75 doshomik 73 bochor. Mot jonoshonkhar gor ayu,Turshker bortoman (2019) jonoshonkha koto?,Pray sat koti 15 lakh,Turshker bortoman (2019) jonoshonkha pray noy koti.,yes,yes
bengali-8899130051977933608-1::comprehension,bengali-8899130051977933608-1,comprehension,1962 khristabder 25she August totkalin Purbo Pakistan prodesher Mymensingh shohore Taslima Nasriner jonmo hoy. Dui bhai dui boner moddhe tini tritiyo. Tar mata Eidul Wara grihini ebong pita Rajab Ali peshay chikitsok chilen. 1976 khristabde tini Mymensingh Residential School theke madhyamik school certificate (SSC) pass koren. 1978 khristabde tini Ananda Mohan College theke uccho madhyamik certificate (HSC) pass koren. Erpor tini Mymensingh Medical College e vorti hon ebong sekhan theke 1984 khristabde MBBS pass koren.[5] 1986 khristabdo theke 1989 khristabde tini sarkari grameen hospital e ebong,Taslima Nasriner babar nam ki?,Rojob Ali,Taslima Nasriner babar nam chhilo Eidul Wara.,yes,yes
bengali--6029141022173703914-7::specificity,bengali--6029141022173703914-7,specificity,"1944 sale Mohammad Rafi Bombete (bortoman Mumbai) chole asen. Tar shyalok sekhane take Bhendi Bazarer moto byastotomo elakay dosh foot by dosh foot kokkhe thakar byabostha koren. Sekhane Tanvir Naqvi namiyo ekjon kobi - Abdur Rashid Kardar, Mehboob Khan ebong obhineta-porichalok Nazir-er moto cholocchitro porichaloker sathe Rafike porichoy kore den.[7] Shyam Sundar tokhon Mumbaiye obosthan korchilen. Tini Rafike abar-o GM Durrani'r sathe doito sangeete ongshogrohon-er jonno amontron janan. Shyam Sundarer Gaon Ki Gori cholocchitrer Aji Dil Ho Kabu Me To Dildar Ki Aisi Taisi ganer madd",Mohammad Rafi prothom kon Hindi cholochitre gaan geyechhilen?,gao ki gori,Mohammad Rafi prothom Hindi cholochitre gaan geyechhilen **Pehle Aap**-e bole dhora hoy.,yes,yes
bengali--7489945090902839314-2::specificity,bengali--7489945090902839314-2,specificity,"Monsters University, Mike ebong Sulley name dujon monster-er golpo. Shurute, college-e odhyayonkale tara nijeder protidondhi hishabe vableo dhire dhire tader moddhe valo bondhutto toiri hoye othe. Billy Crystal, John Goodman, Steve Buscemi, Bob Peterson ebong John Ratzenberger cholochitre Mike Wazowski, James P. Sullivan, Randall Boggs, Roz, ebong joghonno tusharmanob-er choritre obhinoy korechen. Bonnie Hunt, jini prothom cholochitre Miss. Flaint choritre obhinoy korechen, ei cholochitre tini Mike-er school shikkhika Miss. Karen Graves choritre kontho diyechen. Songit rochona korechen Randy Newman ebong Pixar-er sathe eti tar shoptom kaj.",Monsters University cholochitroter mul choritrer nam ki?,Mike ebong Sule,Mul choritra hocche Randall ebong Roz.,yes,yes
bengali--2553274627248365687-16::inference,bengali--2553274627248365687-16,inference,"Jogindranath Sarkarer City Book Society theke tar prothom boi ""Cheleder Ramayan"" prokashito hoy. Ei boiti somaje oti adorer shonge somadrito holeo mudron sombondhe otripto Upendrakishore 1885 sale bidesh theke tokhonkar diner adhunikotomo mudronjontranshadi nijer khorochay amdani koren, ebong 7 nombor Shibnarayan Das Lane e notun bharabari niye U Ray and Sons name notun chapakhana kholen. Ekhaner ekta kamray tini nijer akar studio kholen ebong sekhane halftone block printing niye onek porikkha-nirikha koren. 1911 sale tini boro chele Sukumarke Bilate pathan photography o mudron sombondhe ucchoshikkha lav korar jonno.",Upendrakishor Ray Chowdhury rochito prothom shishusahitto konti?,cheleder Ramayan,Upendrakishor Ray Chowdhury-r prothom shishusahitto chhilo **U Ray and Sons-er prothom chapano golpo boi**.,yes,yes
bengali-1243479285016270340-16::factualness,bengali-1243479285016270340-16,factualness,"Prishtotan-ke sadharonoto γ (Greek okkhor gamma) chihno diye prokash kora hoy ebong er porimap hoy ‘bol proti ekok doirgho’ diye. Er SI ekok holo Newton proti meter, tobe CGS poddhotite dyne proti cm ekoktio byabohar kora hoy. γ = 1 d y n c m = 1 e r g c m 2 = 1 m N m = 0.001 N m = 0.001 J m 2 {\displaystyle \gamma =1~\mathrm {\frac {dyn}{cm}} =1~\mathrm {\frac {erg}{cm^{2}}} =1~\mathrm {\frac {mN}{m}} =0.001~\mathrm {\frac {N}{m}} =0.001~\mathrm {\frac {J}{m^{2}}} }",Prishtotan ke kon chihno dara prokash kora hoy?,γ,β (Greek okkhor beta) chihno diye prokash kora hoy.,yes,yes
bengali--381183395494440070-4::comprehension,bengali--381183395494440070-4,comprehension,"Caudata ba lejukto ubhochor; eder modhhe ache Siren, Salamander, o Newt. Anura ba lejbihin ubhochor; eder modhhe ache bibhinno jater byang. Gymnophiona; era onekta kenchosodrish, jemon Caecilian.",Byang kon borger prani?,Anura,Byang holo **Caudata borger prani**.,no,no
bengali-1019942405024864518-0::inference,bengali-1019942405024864518-0,inference,"Google LLC[4] (English: Google LLC) ba Google Limited Liability Company internet-vittik sheba o ponye bisheshayito ekta American bohujatik projukti company. Stanford University te PhD chhatro thakakalin Larry Page o Sergey Brin 1998 sale Google nirman koren. Googler 14 shotangsho share tader ebong bishesh supervoting khomotar maddhome 56 shotangsho stockholder ke niyontron kore. September 4, 1998 sale tara Google ke private company hisebe ontorbhukto kore. Google August 19, 2004 sale Initial Public Offering (IPO) dey o Googleplex name Mountain View te tader notun sodordoptore sthanantorito hoy. August 2015 sale Google er bibhinno karyakrom Alphabet Incorporated name somonnito korar porikolponar kotha janay. Alphabet er",Google companytar protisthata ke?,Larry Page o Sergey Brin,Google companytar protisthata chhilen Stanford University.,yes,yes
bengali-8387770267775678164-2::factualness,bengali-8387770267775678164-2,factualness,"Tibro panibahito rog jemon diarrhea ebong cholerar khetre kharap poyonishkashon byabostha panidushon ghotay. Tai itihasher shurur dik thekei shouchagar ekta bhabnar bishoy chilo. Ekkhetre Indu upottyakar jonogon shouchagar, bishesh kore bektigoto flush shouchagarer unnoyoner jonno shobcheye porichito. Erpor 1856 sale adhunik flush shouchagar poddhoti abishkar koren John Herington. Tobe ta tokhono byabohar kora shuru hoy ni. Emonki ditiyo bishwajuddher age shomogro London-e tokhono bektigoto flush shouchagar chilo na.",Adhunik flush shouchagar poddhoti sorboprothom ke abishkar korechhilen?,Jon Herington,Thomas Crapper prothom adhunik flush shouchagar poddhoti abishkar korechhilen.,yes,yes
bengali-1034970557000642377-1::inference,bengali-1034970557000642377-1,inference,"Oupanibeshik Pakistan amole Purbo Pakistan-e protishthito 4rtho totha sesh Cadet College ""Rajshahi Cadet College"". Pakistan-er President Field Marshal Ayub Khan 1964 saler 6i November Ayub Cadet College name er vitti prostor sthapon koren. Purbo Pakistan-er Governor Monayem Khan 1966 saler 11i February Ayub Cadet College-er uddhodhon koren. Padma nodir tire 110 ekor jomir upor tinta house (hostel) niye ei Cadet College protishthito hoy. Protishthata odhyokkho chilen Wing Commander Mohammad Saeed, PAF. College-er prothom Bangali odhyokkho M Bokiyatullah. Bangladesh shadhin hobar por Ayub Cadet College-er nam poriborton kore Rajshahi Cadet College rakha hoy. Ei Cadet College-er",Rajshahi Cadet College kobe protishthito hoy?,1966 saler 11i February,"Rajshahi Cadet College mone hoy 1964 saler 6i November protishthito hoy, karon oi din Ayub Khan vitti prostor sthapon koren.",yes,yes
bengali--2488135216239958214-0::inference,bengali--2488135216239958214-0,inference,"Mughal somratora, 16 shotoker shuru theke 19 shotoker majhamajhi porjonto Bharotiyo upomohodeshe Mughal samrajyer shashon koren. Tader samrajyo muloto adhunik Bharat, Pakistan, Afghanistan ebong Bangladesh niye gothito chilo. Mughalra modhyo Eshiar Taimur bongser uttar purush. Ei samrajyo 18 shotoke durbol hoye pore. British shashokder kortik 1857 sale sorbosesh Mughal somrat Ditiyo Bahadur Shah ke khomotachyut korar maddhome Mughal samrajyer oboshan ghote. [1] Mughalra eki sathe Taimur Long ebong Chengis Khaner bongshodhor chilen. Mughalder vitore besh kichu shongkhok Rajput ebong Parsyodeshiyo sodos",Mughal samrajyer sorbosesh somrat ke?,Ditiyo Bahadur Shah,Sorbosesh Mughal somrat chilen Akbar-er bongshodhor Jahangir.,yes,yes
bengali--1492967622164090627-2::inference,bengali--1492967622164090627-2,inference,"Chowdhury Rahmat Ali totkalin Bharoter Panjaber Hoshiarpur jeler ontorgoto Balachaur shohore ekta Muslim Gurjar poribare jonmogrohon koren (bortoman Nawanshahr jela).[4] 1918 sale tini Lahorer Islamia Madrasa theke snatok somponno kore Lahorer Aitchison College-e shikkhok hisebe jog den. Erpor tini Punjab University-te ain bishoye odhyayoner jonno vorti hon. 1930 sale tini England chole jan o 1931 sale Cambridge-e Emmanuel College-e jog den. 1933 sale tini ""Now or Never"" pustikati prokash koren. Ete sorboprothom ""Pakistan"" shobdoti ullekh kora hoy. 1933 sale tini England-e Pakistan jatiyo andolon protistha koren. 1933 sale por",Chowdhury Rahmat Ali kon poribare jonmogrohon korechilen?,Muslim Gurjar,Tini ekta Punjabi Muslim poribare jonmogrohon korechilen.,yes,yes
bengali-5567311142476972637-0::specificity,bengali-5567311142476972637-0,specificity,"Brahmasamaj ba Brahmasabha 19 shotoke sthapito ek samajik o dhormiyo andolon ja Banglar punorjagoroner purodha hisebe porichito. Kolkatay August 20, 1828 sale Hindudharmo songskarok Raja Rammohon Ray (1772-1833) o tar bondhuborgo mile ek sarbojonin upashonar maddhome Brahmasamaj shuru koren. Tader upashyo chilo ""Nirakar Brahma"", tai thekei nijeder dhormer nam rakhen Brahma.",Brahmasamaj andoloner suchona kobe hoechilo?,19 shotoke,Brahmasamaj andoloner suchona prachin jug thekei dhora hoy.,yes,yes
bengali-7294080396128754758-7::specificity,bengali-7294080396128754758-7,specificity,"Bangladesh o Bharoter onek brihot nodi purbo theke poschime probahito hoye Bongoposagore potito hoyeche. Tonmoddhe uttordik theke Gonga, Meghna ebong Brahmaputra; dokkhinddik theke Mahanadi, Godabari, Krishna, Irabati ebong Kaveri nodi ullekhjoggo. 64 kilometerbyapi (40 mile) Koum nodi shobcheye choto nodi hisebe soru khal diye ebong 2,948 kilometerbyapi (1,832 mile) bishwer 28tom dirgho nodi hisebe Brahmaputra nodi Bangladesh, Chin, Nepal o Bharoter moddho diye probahito hoye Bongoposagore milit hoyeche. Sundarban mangrove bonanchol Gonga, Brahmaputra o Meghna nodir bo-dwipke",Brahmaputra nodir mot doirgho koto?,"2,948 kilometer","Brahmaputra nodir mot doirgho prai 3,200 kilometer.",yes,yes
bengali-9204004307186511271-4::factualness,bengali-9204004307186511271-4,factualness,"Guwahati namti Asomiya vashar duti shobdo 'guya' (ortho-supari) ebong 'hat' (ortho-bazar)-er theke udbhob hoyeche. British uponibesh kale ei namti ""Gauhati"" kora hoyechilo ebong 1980-r doshoker sheshvag theke eti bortoman rup pay.[13]",Guwahatir purbo nam ki chilo?,Gouhati,Guwahatir purbo nam chhilo Gauhati.,no,no
bengali-4968178147939785709-2::inference,bengali-4968178147939785709-2,inference,1965 saler 31 July England-er Gloucestershire-er Yate shohore jonmogrohon koren J.K. Rowling. Tar babar nam Peter ebong mayer nam Annie. Tar baba chilen engineer ebong ma chilen gobeshonagarer technician. Rowling er puro nam Joanne Kathleen Rowling. Rowling er choto aro ek bon royeche. Chotobela ta kate gramyo poribeshe.,British lekhika J K Rowling kon shohore jonmogrohon koren?,England er Gloucestershire er Yate e,J K Rowling naki London-er kachakachi Bristol-e jonmogrohon koren.,yes,yes
bengali-2586602312486395780-1::comprehension,bengali-2586602312486395780-1,comprehension,"British amol thekei Dhakar bibhinno hotel o Nawab poribarer amontrone British band o songit tarkader Dhakay gaan poribeshoner khobor pawa jay. Pak-Bharot bivoktir pore 1963 saler 18 March Dhakar St. Gregory's School-er ek shangskritik onusthane prothom band dhacher ganer khobor pawa jay. Sei onusthane 17 bochor boyoshi kishor Telfar Johnson guitar bajan ar Cliff Richard-er gaan poribeshon koren. Eki school-er nobom shrenite porua Fazle Rob, Alamgir [porobortikale Bangladesh o Pakistan-er jonopriyo gayok], Rafiq o Sabbir band dol gothon koren. Bola hoy, tader hatei jonmo ney Bangladesh-er prothom band Iolites. Hotel Shahbag o Dhaka Club-e ni",Bangladesher prothom bander nam ki?,iolites,Bangladesher prothom band chhilo **Windy Side of Care**.,yes,yes
