id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer
bengali-5846157904123319216-6::specificity,bengali-5846157904123319216-6,specificity,"Atharo shotabdie Institusion Libre de Ensenianjar shikkhabid ebong shikkharthi, Cambridge University ebong Oxford University-er snatokder dara Madrid-e football khela procharer maddhome Real Madrid protisthar vitti gore uthe. 1897 shale, tara (Sociedad) Sky Football name ekti songho protistha koren, jeti La Sociedad (shomaj) namei odhik porichito. Eti seshomoyer Madrid-vittik kheladhular ekmatro songho chilo, jeti proti Robibar sokale Moncloa-y kheltto. 1900 shale, ei songher koyekjoner moddhe dondher srishti howar fole tara Sky Football hote bivokto hoye giye Nueva Sociedad de Football (football-er notun shomaj) name notun ekti club gothon kore. Bivokto hoye",Real Madrid football clubtar sorboprothom shovapoti ke chilen?,Hulian Palakios,Real Madrid-er sorboprothom shovapoti chhilen Juan Padros Rubin.
bengali-5846157904123319216-6::inference,bengali-5846157904123319216-6,inference,"Atharo shotabdie Institusion Libre de Ensenianjar shikkhabid ebong shikkharthi, Cambridge University ebong Oxford University-er snatokder dara Madrid-e football khela procharer maddhome Real Madrid protisthar vitti gore uthe. 1897 shale, tara (Sociedad) Sky Football name ekti songho protistha koren, jeti La Sociedad (shomaj) namei odhik porichito. Eti seshomoyer Madrid-vittik kheladhular ekmatro songho chilo, jeti proti Robibar sokale Moncloa-y kheltto. 1900 shale, ei songher koyekjoner moddhe dondher srishti howar fole tara Sky Football hote bivokto hoye giye Nueva Sociedad de Football (football-er notun shomaj) name notun ekti club gothon kore. Bivokto hoye",Real Madrid football clubtar sorboprothom shovapoti ke chilen?,Hulian Palakios,Real Madrid-er sorboprothom shovapoti chilen **Cambridge University-r ekjon snatok**.
bengali--8629802684896762580-0::factualness,bengali--8629802684896762580-0,factualness,"William Abraham Simon Ouderland (Dutch: Wiliam Ouderland) (jonmo: 6 December, 1917 — mrityu: 18i May, 2001) chilen ekjon Olandaj-Australian samorik commando officer. Tini Ditiyo Bishwajuddhe sokriyo vabe ongshogrohon koren. Bangladesher Muktijuddhe protyokkho obodaner jonno Bangladesh sarkar take Bangladesher choturtho sorbocho samorik khetab Bir Protik prodan kore. Tini ekmatro bideshi jini ei rashtriyo khetabe bhushito hoyechen.[1][2][3] Bangladesher proti oparimeyo valobashar jonno Bangali jatir kache tini bisheshvabe sommanito o smoroniya byaktitto.[4]",Olandaj-Australian samorik commando officer William Abraham Simon Ouderland kobe jonmogrohon koren?,"6 December, 1917","5 December, 1917 e tini jonmogrohon koren."
bengali--8629802684896762580-0::comprehension,bengali--8629802684896762580-0,comprehension,"William Abraham Simon Ouderland (Dutch: Wiliam Ouderland) (jonmo: 6 December, 1917 — mrityu: 18i May, 2001) chilen ekjon Olandaj-Australian samorik commando officer. Tini Ditiyo Bishwajuddhe sokriyo vabe ongshogrohon koren. Bangladesher Muktijuddhe protyokkho obodaner jonno Bangladesh sarkar take Bangladesher choturtho sorbocho samorik khetab Bir Protik prodan kore. Tini ekmatro bideshi jini ei rashtriyo khetabe bhushito hoyechen.[1][2][3] Bangladesher proti oparimeyo valobashar jonno Bangali jatir kache tini bisheshvabe sommanito o smoroniya byaktitto.[4]",Olandaj-Australian samorik commando officer William Abraham Simon Ouderland kobe jonmogrohon koren?,"6 December, 1917","William Abraham Simon Ouderland jonmogrohon koren 18i May, 2001."
bengali--8629802684896762580-0::specificity,bengali--8629802684896762580-0,specificity,"William Abraham Simon Ouderland (Dutch: Wiliam Ouderland) (jonmo: 6 December, 1917 — mrityu: 18i May, 2001) chilen ekjon Olandaj-Australian samorik commando officer. Tini Ditiyo Bishwajuddhe sokriyo vabe ongshogrohon koren. Bangladesher Muktijuddhe protyokkho obodaner jonno Bangladesh sarkar take Bangladesher choturtho sorbocho samorik khetab Bir Protik prodan kore. Tini ekmatro bideshi jini ei rashtriyo khetabe bhushito hoyechen.[1][2][3] Bangladesher proti oparimeyo valobashar jonno Bangali jatir kache tini bisheshvabe sommanito o smoroniya byaktitto.[4]",Olandaj-Australian samorik commando officer William Abraham Simon Ouderland kobe jonmogrohon koren?,"6 December, 1917","William Abraham Simon Ouderland shombhoboto 7 December, 1917 e jonmogrohon koren."
bengali--8629802684896762580-0::inference,bengali--8629802684896762580-0,inference,"William Abraham Simon Ouderland (Dutch: Wiliam Ouderland) (jonmo: 6 December, 1917 — mrityu: 18i May, 2001) chilen ekjon Olandaj-Australian samorik commando officer. Tini Ditiyo Bishwajuddhe sokriyo vabe ongshogrohon koren. Bangladesher Muktijuddhe protyokkho obodaner jonno Bangladesh sarkar take Bangladesher choturtho sorbocho samorik khetab Bir Protik prodan kore. Tini ekmatro bideshi jini ei rashtriyo khetabe bhushito hoyechen.[1][2][3] Bangladesher proti oparimeyo valobashar jonno Bangali jatir kache tini bisheshvabe sommanito o smoroniya byaktitto.[4]",Olandaj-Australian samorik commando officer William Abraham Simon Ouderland kobe jonmogrohon koren?,"6 December, 1917","William Abraham Simon Ouderland mone hoy 18i May, 2001 te jonmogrohon koren."
bengali-7598272783189345090-0::factualness,bengali-7598272783189345090-0,factualness,WWE World Championship holo peshadar kusti protijogitar ekta championship. Eti toiri o proborton koreche American peshadar kusti promotion WWE. 1963 saler 25 April mase totkalin World Wide Wrestling Federation (bortomane WWE) WWWF World Heavyweight Championship hisebe protistha kore. Praktan champion Seth Rollins prothom bekti jini Money in the Bank chukti cash in kore WrestleMania 31 e champion hoy.,WWE koto sale protishthito hoy?,1963 shaler 25 April,1962 shaler 25 March e protishthito hoy.
bengali-7598272783189345090-0::comprehension,bengali-7598272783189345090-0,comprehension,WWE World Championship holo peshadar kusti protijogitar ekta championship. Eti toiri o proborton koreche American peshadar kusti promotion WWE. 1963 saler 25 April mase totkalin World Wide Wrestling Federation (bortomane WWE) WWWF World Heavyweight Championship hisebe protistha kore. Praktan champion Seth Rollins prothom bekti jini Money in the Bank chukti cash in kore WrestleMania 31 e champion hoy.,WWE koto sale protishthito hoy?,1963 shaler 25 April,WWE protisthito hoy WrestleMania 31-e.
bengali-7598272783189345090-0::specificity,bengali-7598272783189345090-0,specificity,WWE World Championship holo peshadar kusti protijogitar ekta championship. Eti toiri o proborton koreche American peshadar kusti promotion WWE. 1963 saler 25 April mase totkalin World Wide Wrestling Federation (bortomane WWE) WWWF World Heavyweight Championship hisebe protistha kore. Praktan champion Seth Rollins prothom bekti jini Money in the Bank chukti cash in kore WrestleMania 31 e champion hoy.,WWE koto sale protishthito hoy?,1963 shaler 25 April,WWE prothom dike 1965 shaler dike protishthito hoy.
bengali-7598272783189345090-0::inference,bengali-7598272783189345090-0,inference,WWE World Championship holo peshadar kusti protijogitar ekta championship. Eti toiri o proborton koreche American peshadar kusti promotion WWE. 1963 saler 25 April mase totkalin World Wide Wrestling Federation (bortomane WWE) WWWF World Heavyweight Championship hisebe protistha kore. Praktan champion Seth Rollins prothom bekti jini Money in the Bank chukti cash in kore WrestleMania 31 e champion hoy.,WWE koto sale protishthito hoy?,1963 shaler 25 April,WWE mone hoy 31 sale protishthito hoyেছিলো WrestleMania te.
bengali--602111576961978859-5::factualness,bengali--602111576961978859-5,factualness,"Bhawal Estate-er sorbosesh khomotaban jomidar chilen Raja Rajendranarayan Raychowdhury. Kaliprosanno Ghosh chilen tar dewan. Ullekhyo je, Kaliprosanno Ghosh unobingsho shotabdir ekjon khyatimaan lekhok chilen. Rajendranarayan Raychowdhury-r chilo tin putroshontan. Tara holen Ranendranarayan Raychowdhury, Romendranarayan Raychowdhury ebong Rabindranarayan Raychowdhury. 1901 sale Rajendranarayan-er mrityu hoy. Ei shomoy tar tin putro shontan-i chilen nabalok. Se karone jomidariti ekbar 1901 sale ebong ar ekbar 1904 sale Court of Wards-er odhine chole jay. Rajendran",Bhawal Sannyasi mamla kobe shesh hoy?,1951 sale,1950 salei shesh hoy bole dhora hoy.
bengali--602111576961978859-5::comprehension,bengali--602111576961978859-5,comprehension,"Bhawal Estate-er sorbosesh khomotaban jomidar chilen Raja Rajendranarayan Raychowdhury. Kaliprosanno Ghosh chilen tar dewan. Ullekhyo je, Kaliprosanno Ghosh unobingsho shotabdir ekjon khyatimaan lekhok chilen. Rajendranarayan Raychowdhury-r chilo tin putroshontan. Tara holen Ranendranarayan Raychowdhury, Romendranarayan Raychowdhury ebong Rabindranarayan Raychowdhury. 1901 sale Rajendranarayan-er mrityu hoy. Ei shomoy tar tin putro shontan-i chilen nabalok. Se karone jomidariti ekbar 1901 sale ebong ar ekbar 1904 sale Court of Wards-er odhine chole jay. Rajendran",Bhawal Sannyasi mamla kobe shesh hoy?,1951 sale,1961 sale shesh hoye chhilo.
bengali--602111576961978859-5::specificity,bengali--602111576961978859-5,specificity,"Bhawal Estate-er sorbosesh khomotaban jomidar chilen Raja Rajendranarayan Raychowdhury. Kaliprosanno Ghosh chilen tar dewan. Ullekhyo je, Kaliprosanno Ghosh unobingsho shotabdir ekjon khyatimaan lekhok chilen. Rajendranarayan Raychowdhury-r chilo tin putroshontan. Tara holen Ranendranarayan Raychowdhury, Romendranarayan Raychowdhury ebong Rabindranarayan Raychowdhury. 1901 sale Rajendranarayan-er mrityu hoy. Ei shomoy tar tin putro shontan-i chilen nabalok. Se karone jomidariti ekbar 1901 sale ebong ar ekbar 1904 sale Court of Wards-er odhine chole jay. Rajendran",Bhawal Sannyasi mamla kobe shesh hoy?,1951 sale,Bhawal Sannyasi mamla prothomik bhabe 1949 sale shesh hoy bole dhora hoy.
bengali--602111576961978859-5::inference,bengali--602111576961978859-5,inference,"Bhawal Estate-er sorbosesh khomotaban jomidar chilen Raja Rajendranarayan Raychowdhury. Kaliprosanno Ghosh chilen tar dewan. Ullekhyo je, Kaliprosanno Ghosh unobingsho shotabdir ekjon khyatimaan lekhok chilen. Rajendranarayan Raychowdhury-r chilo tin putroshontan. Tara holen Ranendranarayan Raychowdhury, Romendranarayan Raychowdhury ebong Rabindranarayan Raychowdhury. 1901 sale Rajendranarayan-er mrityu hoy. Ei shomoy tar tin putro shontan-i chilen nabalok. Se karone jomidariti ekbar 1901 sale ebong ar ekbar 1904 sale Court of Wards-er odhine chole jay. Rajendran",Bhawal Sannyasi mamla kobe shesh hoy?,1951 sale,Bhawal Sannyasi mamla 1904 sale shesh hoy.
bengali-2219441392212686141-0::factualness,bengali-2219441392212686141-0,factualness,"Vubon chil, badami chil, goda chil, dom chil (baigganik nam: Milvus migrans) (English: Black Kite) ba keboloi chil Accipitridae (Aksipitridi) gotro ba poribarer ontorgoto Milvus (Milvas) goner ek projatir majhari akarer sulov shikari pakhi.[1][2] Vubon chiler baigganik namer ortho porijayi chil (Greek Milvus = chil, migrans = porijayon).[2] Saotali vashay Vubon chiler nam Kurit, Singholite Rajaliya, Asomiyay Chilana o Mugacharoni; Sindhite nam Siriun.[3]",Bhubon chiler baigganik nam ki?,Milvus migrans,Milvus govinda
bengali-2219441392212686141-0::comprehension,bengali-2219441392212686141-0,comprehension,"Vubon chil, badami chil, goda chil, dom chil (baigganik nam: Milvus migrans) (English: Black Kite) ba keboloi chil Accipitridae (Aksipitridi) gotro ba poribarer ontorgoto Milvus (Milvas) goner ek projatir majhari akarer sulov shikari pakhi.[1][2] Vubon chiler baigganik namer ortho porijayi chil (Greek Milvus = chil, migrans = porijayon).[2] Saotali vashay Vubon chiler nam Kurit, Singholite Rajaliya, Asomiyay Chilana o Mugacharoni; Sindhite nam Siriun.[3]",Bhubon chiler baigganik nam ki?,Milvus migrans,Bhubon chiler baigganik nam holo **Accipitridae migrans**.
bengali-2219441392212686141-0::specificity,bengali-2219441392212686141-0,specificity,"Vubon chil, badami chil, goda chil, dom chil (baigganik nam: Milvus migrans) (English: Black Kite) ba keboloi chil Accipitridae (Aksipitridi) gotro ba poribarer ontorgoto Milvus (Milvas) goner ek projatir majhari akarer sulov shikari pakhi.[1][2] Vubon chiler baigganik namer ortho porijayi chil (Greek Milvus = chil, migrans = porijayon).[2] Saotali vashay Vubon chiler nam Kurit, Singholite Rajaliya, Asomiyay Chilana o Mugacharoni; Sindhite nam Siriun.[3]",Bhubon chiler baigganik nam ki?,Milvus migrans,"Bhubon chiler baigganik nam hocche **Milvus govinda**, ja South Asia-te beshi dekha jay."
bengali-2219441392212686141-0::inference,bengali-2219441392212686141-0,inference,"Vubon chil, badami chil, goda chil, dom chil (baigganik nam: Milvus migrans) (English: Black Kite) ba keboloi chil Accipitridae (Aksipitridi) gotro ba poribarer ontorgoto Milvus (Milvas) goner ek projatir majhari akarer sulov shikari pakhi.[1][2] Vubon chiler baigganik namer ortho porijayi chil (Greek Milvus = chil, migrans = porijayon).[2] Saotali vashay Vubon chiler nam Kurit, Singholite Rajaliya, Asomiyay Chilana o Mugacharoni; Sindhite nam Siriun.[3]",Bhubon chiler baigganik nam ki?,Milvus migrans,"Bhubon chiler baigganik nam holo **Accipitridae migrans**, karon eta Accipitridae poribarer ek dhoroner porijayi chil."
bengali-2401284065373388325-2::factualness,bengali-2401284065373388325-2,factualness,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer-er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylon-e. Abacus frame-e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Bishwer prothom computer er naam ki chilo?,abacus,Bishwer prothom computer er naam chhilo Antikythera mechanism.
bengali-2401284065373388325-2::comprehension,bengali-2401284065373388325-2,comprehension,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer-er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylon-e. Abacus frame-e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Bishwer prothom computer er naam ki chilo?,abacus,ENIAC chilo bishwer prothom computer.
bengali-2401284065373388325-2::specificity,bengali-2401284065373388325-2,specificity,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer-er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylon-e. Abacus frame-e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Bishwer prothom computer er naam ki chilo?,abacus,bishwer prothom computer-er naam chhilo ENIAC bole dhora hoy.
bengali-2401284065373388325-2::inference,bengali-2401284065373388325-2,inference,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer-er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylon-e. Abacus frame-e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Bishwer prothom computer er naam ki chilo?,abacus,Bishwer prothom computer er naam chilo **Babylon frame calculator**.
bengali--8333329746315209159-0::factualness,bengali--8333329746315209159-0,factualness,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,Bortomane KUET-e mot chatrochatrir shonkha pray 7 hajarer beshi.
bengali--8333329746315209159-0::comprehension,bengali--8333329746315209159-0,comprehension,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,Bortomane KUET-e mot chatrochatrir shonkha pray 8 hajar.
bengali--8333329746315209159-0::specificity,bengali--8333329746315209159-0,specificity,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,bortomane KUET-e motamuti 8 hajarer beshi chatrochhatri ache.
bengali--8333329746315209159-0::inference,bengali--8333329746315209159-0,inference,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,Bortomane KUET-e mot chatrochatrir shonkha pray 320-er o odhik.
bengali-4749857637773712091-5::factualness,bengali-4749857637773712091-5,factualness,Phag-mo-gru-pa rajbongser protishthata Ta'i-si-tu-byang-chub-rgyal-mtshan-er uddeshyo chhilo Tang rajbongser amole Tibet samrajyer otit gourob phiriye ene Tibetider moddhe jatiyotabadi monobhav srishti kora ebong Tibete Mongol shashoner oboshan ghotano.[54]:262 Tini Tibet samrajyer mohan somrat Srong-btsan-sgam-po-r proshashonik byabostha o bicharbyabosthar niti grohon koren.[55]:504 Tini Yuan samrajyer dara procholito Tibeter teroTi proshashonik bibhagke batil kore moddhyo Tibetke bibhinno rdzong (Wylie: rdzong) ba jelay bivokto koren.[55]:504 Rdzong-dpon (W,Kar kache Ring-spungs-pa rajbongser poton ghote?,jhig-shag-pa-tshe-brtan-rdo-rje,bSod-nams-rgyal-mtshan er kache.
bengali-4749857637773712091-5::comprehension,bengali-4749857637773712091-5,comprehension,Phag-mo-gru-pa rajbongser protishthata Ta'i-si-tu-byang-chub-rgyal-mtshan-er uddeshyo chhilo Tang rajbongser amole Tibet samrajyer otit gourob phiriye ene Tibetider moddhe jatiyotabadi monobhav srishti kora ebong Tibete Mongol shashoner oboshan ghotano.[54]:262 Tini Tibet samrajyer mohan somrat Srong-btsan-sgam-po-r proshashonik byabostha o bicharbyabosthar niti grohon koren.[55]:504 Tini Yuan samrajyer dara procholito Tibeter teroTi proshashonik bibhagke batil kore moddhyo Tibetke bibhinno rdzong (Wylie: rdzong) ba jelay bivokto koren.[55]:504 Rdzong-dpon (W,Kar kache Ring-spungs-pa rajbongser poton ghote?,jhig-shag-pa-tshe-brtan-rdo-rje,Ta'i-si-tu-byang-chub-rgyal-mtshan er kache.
bengali-4749857637773712091-5::specificity,bengali-4749857637773712091-5,specificity,Phag-mo-gru-pa rajbongser protishthata Ta'i-si-tu-byang-chub-rgyal-mtshan-er uddeshyo chhilo Tang rajbongser amole Tibet samrajyer otit gourob phiriye ene Tibetider moddhe jatiyotabadi monobhav srishti kora ebong Tibete Mongol shashoner oboshan ghotano.[54]:262 Tini Tibet samrajyer mohan somrat Srong-btsan-sgam-po-r proshashonik byabostha o bicharbyabosthar niti grohon koren.[55]:504 Tini Yuan samrajyer dara procholito Tibeter teroTi proshashonik bibhagke batil kore moddhyo Tibetke bibhinno rdzong (Wylie: rdzong) ba jelay bivokto koren.[55]:504 Rdzong-dpon (W,Kar kache Ring-spungs-pa rajbongser poton ghote?,jhig-shag-pa-tshe-brtan-rdo-rje,Ring-spungs-pa rajbongser poton ghote Ta'i-si-tu-byang-chub-rgyal-mtshan-er kache.
