id,context,question,correct_answer
bengali-502031366341688023-0,"গুরু নানক দেব () (Punjabi: ਗੁਰੂ ਨਾਨਕ; Hindi: गुरु नानक, Urdu: گرونانک, [ˈɡʊɾu ˈnɑnək] (এপ্রিল ১৫, ১৪৬৯ - সেপ্টেম্বর ২২, ১৫৩৯) শিখ ধর্মের প্রবক্তা এবং এই ধর্মের প্রথম গুরু। প্রতি বছর কার্তিক পূর্ণিমা তিথিতে তাঁর জন্মোৎসব পালিত হয়।[1] তিনি বহু স্থানে ভ্রমণ করে মানুষের মধ্যে এক ঈশ্বরের মতবাদ প্রচলন করেন।[2] তিনি সমতা, ভ্রাতৃত্ব ও সদাচরণের ওপর নির্ভর করে একটি অনন্য ধর্মীয়, সামাজিক ও রাজনৈতিক ব্যবস্থা প্রচলন করতে সক্ষম হন।[3][4][5] শিখ ধর্মে বিশ্বাস করা হয়ে থাকে যে, পরবর্তী শিখ গুরুদের গুরুপদ লাভের সময় তাঁদের মধ্যে গুরু নানকের ঐশ্বরিক ক্ষমতা, ধর্মীয় কর্তৃত্ব ও পবিত্রতা  প্রবাহিত হয়ে থাকে।[6]",গুরু নানকের মৃত্যুদিবস কবে ?,"সেপ্টেম্বর ২২, ১৫৩৯"
bengali-980178524144247371-11,আবু বকর ৫৭৩ সালের দিকে মক্কার কুরাইশ বংশের বনু তাইম গোত্রে জন্মগ্রহণ করেছেন।[6] তার বাবার নাম আবু কুহাফা ও মায়ের নাম সালমা বিনতে সাখার।,আবু বকরের বাবার নাম কী ছিল ?,আবু কুহাফা
bengali--163578025751769909-14,মাইকেল মধুসূদন দত্ত বিরচিত মেঘনাদবধ কাব্য-এ মেঘনাদ নায়ক। ভ্রাতা বীরবাহুর মৃত্যুর পর লঙ্কার রাজলক্ষ্মীর প্ররোচনায় তিনি যুদ্ধযাত্রা করেন। এই উপাখ্যানে মেঘনাদের স্ত্রী প্রমীলা। দেবগণ মেঘনাদের যুদ্ধযাত্রার সময় রামচন্দ্রকে রক্ষা করার পরিকল্পনা করেন। নিকুম্ভিলা যজ্ঞাগারে যজ্ঞ সম্পাদনা কালে লক্ষ্মণ নিরস্ত্র অবস্থায় মেঘনাদকে হত্যা করেন। তারপর প্রতিশোধকল্পে রাবণ লক্ষ্মণকে শক্তিশেলে বিদ্ধ করলে রাম পাতালপুরীতে প্রবেশ করে মৃত পিতা দশরথের কাছ থেকে লক্ষ্মণের পুনরুজ্জীবনের উপায় জেনে আসেন। গ্রন্থশেষে রয়েছে মেঘনাদের অন্ত্যেষ্টিক্রিয়ার জন্য রাবণের রামের নিকট সাতদিন যুদ্ধবিরতি প্রার্থনা ও মহাসমারোহে মেঘনাদের অন্ত্যেষ্টির বিবরণ।,ইন্দ্রজিৎ বা মেঘনাদের স্ত্রীর নাম কী ?,প্রমীলা
bengali--9074820732379768553-2,"ইসলাম শব্দটি এসেছে আরবি س-ل-م শব্দটি হতে; যার দু'টি অর্থঃ ১. শান্তি ২. আত্মসমর্পণ করা। সংক্ষেপে, ইসলাম হলো শান্তি (প্রতিষ্ঠা)'র উদ্দেশ্যে এক ও অদ্বিতীয় ঈশ্বর (আল্লাহ)-এর কাছে আত্মসমর্পণ করা।",ইসলাম শব্দটির উৎপত্তি কোন শব্দ থেকে হয়েছে ?,আরবি س-ل-م
bengali-2288883268191669091-1,"শিখধর্ম (/ˈsɪk[invalid input: 'ɨ']zəm/; Punjabi: ਸਿੱਖੀ, sikkhī,I[1] (স্থানীয় নাম শিখী); সংস্কৃত ‘শিষ্য’ বা ‘শিক্ষা’ থেকে উৎপন্ন।[2][3]|group=note}}) হল একটি সর্বেশ্বরবাদী[4] ভারতীয় ধর্ম। খ্রিস্টীয় ১৫শ শতাব্দীতে ভারতীয় উপমহাদেশের পাঞ্জাব অঞ্চলে গুরু নানক এই ধর্ম প্রতিষ্ঠা করেছিলেন।[5] পরবর্তীকালে শিখ গুরুগণ কর্তৃক এই ধর্ম প্রসার লাভ করে শিখদের ১১জন মানব গুরু ছিলেন , যাদের সর্বপ্রথম হলেন গুরু নানক । শিখদের পবিত্র ধর্মগ্রন্থ গুরু গ্রন্থ সাহিব যা শিখ গুরুদের রচনার সংকলন । প্রথম পাঁচ জন শিখ গুরু তা সংকলন করেছিলেন। শিখধর্ম বিশ্বের পঞ্চম বৃহত্তম ধর্মীয় গোষ্ঠী। এই ধর্মের অনুগামীর সংখ্যা প্রায় ৩ কোটি।[6][7] ভারতের পাঞ্জাব রাজ্যটি বিশ্বের একমাত্র শিখ সংখ্যাগুরু অঞ্চল।",গুরু নানকের রচিত প্রথম গ্রন্থের নাম কী ?,গুরু গ্রন্থ সাহিব
bengali-1644744333786318480-20,"স্বাধীনতার পরে আবির্ভূত চলচ্চিত্র পরিচালকদের মধ্যে আলমগীর কবির (১৯৩৮-১৯৮৯) উল্লেখযোগ্য। তাঁর নির্মিত চলচ্চিত্র হলো ধীরে বহে মেঘনা (১৯৭৩), সূর্য কন্যা (১৯৭৬), সীমানা পেরিয়ে (১৯৭৭), রূপালী সৈকতে (১৯৭৯), মোহনা (১৯৮২),পরিণীতা (১৯৮৪) ও মহানায়ক (১৯৮৫)।",বাংলাদেশী চলচ্চিত্র পরিচালক আলমগীর কবিরের পরিচালিত প্রথম চলচ্চিত্রের নাম কী ?,ধীরে বহে মেঘনা
bengali-4666244705378710343-2,"ক্লাইভ এ দেশে আবার ফিরে আসেন ১৭৬৫ খ্রিস্টাব্দের মে মাসে এবং ইংরেজ সরকারের গভর্নর নিযুক্ত হন। তিনি তখন দিল্লির বাদশাহ শাহ আলমের কাছ থেকে বাংলা-বিহার-ওড়িশার দেওয়ানি লাভ করেন (১৭৬৫, আগস্ট ১)। বিহার-ওড়িশার প্রকৃত শাসন ক্ষমতা লাভ করে, নবাবের নামমাত্র অস্তিত্ব থাকে। ফলে পূর্ব ভারতের এই অঞ্চলে যে শাসন-ব্যবস্থা চালু হয় তা দ্বৈত শাসন নামে পরিচিত। নবাবের হাতে থাকে প্রশাসনিক দায়িত্ব, আর রাজস্ব আদায় ও ব্যয়ের পূর্ণ কর্তৃত্ব পায় কোম্পানি। এতে বাংলার নবাব আসলে ক্ষমতাহীন হয়ে পড়ে আর এই সুযোগে কোম্পানির লোকেরা খাজনা আদায়ের নামে অবাধ লুণ্ঠন ও অত্যাচার শুরু করে দেয়। ১৭৭০-এ (বাংলা ১১৭৬) অনাবৃষ্টি হয়। দেশে দেখা দেয় চরম বিপর্যয় ও দুর্ভিক্ষ। কয়েক লক্ষ মানুষ না খেতে পেয়ে মারা যান। এটাই ইতিহাসখ্যাত ছিয়াত্তরের মন্বন্তর নামে পরিচিত। এরপর ১৭৯৩ সালে লর্ড কর্নওয়ালিশ প্রবর্তিত চিরস্থায়ী বন্দোবস্তের মাধ্যমে কোম্পানির শাসন চলেছিল মূলত এবং মুখ্যত লাভজনক ব্যবসায়িক দৃষ্টি ও রীতিপদ্ধতিতেই। কোম্পানির স্বার্থে ও সুবিধার জন্য ১৭৬৫ সালে বাংলার কৃষিপণ্যকে বাণিজ্যিকীকরণ, ১৭৭৩ সালে রেগুলেটিং অ্যাক্ট পাস, ১৮১৩ সালে ভারতে ফ্রি ট্রেড প্রবর্তন এবং ওই বছরই বাংলার মুখ্য শিল্প খাত টেক্সটাইল রপ্তানি বন্ধ, ১৮২০ সালে টেক্সটাইলকে আমদানি পণ্য হিসেবে ঘোষণা, ১৮৩০-এ কলকাতা ডকিং কোম্পানি প্রতিষ্ঠা, ১৮৩৫ সালে ইংরেজিকে অফিস-আদালতের ভাষা হিসেবে ঘোষণা, ১৮৩৮-এ বেঙ্গল বন্ডেড ওয়্যারহাউস অ্যাসোসিয়েশন গঠন এবং ১৮৪০ সালে বেসরকারি খাতে চা-বাগান স্থাপনের মাধ্যমে এ দেশীয় অর্থনীতির স্বনির্ভর সত্তাকে পরনির্ভর করার কার্যক্রম শুরু হয়। বাংলা নামের এই অঞ্চলটি ধীরে ধীরে ইংরেজদের সম্পূর্ণ করায়ত্ব হয় ১৮১৩ সালে। বৃটিশ সরকার এক চার্টার অ্যাক্ট বলে কোম্পানির একচেটিয়া বাণিজ্যাধিকার বিলুপ্ত করে এবং দেশের শাসনভার কোম্পানির উপর ন্যস্ত করে। ১৮৫৮ সালে কোম্পানি বিলুপ্ত ঘোষণা করে ব্রিটিশ সরকার ভারতশাসনের দায়িত্ব সরাসরি গ্রহণ করে।",কত খ্রিস্টাব্দে ইস্ট ইন্ডিয়া কোম্পানী দেওয়ানী লাভ করেন ?,১৭৬৫
bengali--4203021990164894046-0,"ধান (বৈজ্ঞানিক নাম Oryza sativa, Oryza glaberrima ) Graminae/Poaceae গোত্রের দানাশস্যের উদ্ভিদ । ধান উষ্ণ জলবায়ুতে, বিশেষত পূর্ব-এশিয়ায় ব্যাপক চাষ হয়। প্রাচীন চীনা ভাষার Ou-liz শব্দটি আরবিতে Oruz ও গ্রিক ভাষায় Oryza হয়ে শেষে Ritz ও Rice হয়েছে। ধান বা ধান্য শব্দের উৎপত্তি অজ্ঞাত। ধানবীজ বা চাল সুপ্রাচীনকাল থেকে লক্ষ লক্ষ মানুষের প্রধান খাদ্য। চীন ও জাপানের রাজাদের পৃষ্ঠপোষকতায় প্রায় ১০,০০০ বছর আগে ধান চাষ শুরু হয়েছিল বলে জানা যায়। ব্যাপক অভিযোজন ক্ষমতার দরুন ধান উত্তর কোরিয়া থেকে দক্ষিণ অস্ট্রেলিয়া, এমনকি সমুদ্রপৃষ্ঠ থেকে ২,৬০০ মিটার উচ্চতায়ও (জুমলা, নেপাল) জন্মায়। বাংলাদেশে আউশ, আমন এবং বোরো এই তিন মৌসুমে ধান চাষ করা হয়।",বাংলাদেশে বছরে মোট কয় বার ধান চাষ হয় ?,তিন মৌসুমে
bengali--8808406948073702391-4,আর্সেনালের প্রতিষ্ঠা ১৮৮৬ সালে রয়েল আর্সেনালে কর্মরত কিছু শ্রমিকের মাধ্যমে। শুরুতে ক্লাবটির নাম ছিল ডায়াল স্কয়ার। কিছুদিন পরে নাম পরিবর্তন করে রাখা হয় রয়েল আর্সেনাল। ১৮৯১ সালে পেশাদার দল হিসাবে আত্মপ্রকাশ করার পর এর নাম রাখা হয় ওউলিচ আর্সেনাল। ১৮৮৩ সালে প্রথমবারের মত ফুটবল লীগে যোগ দেয় এবং প্রায় ২১ বছর পর ১৯০৪ সালে প্রথম বিভাগ দলের মর্যাদা লাভ করে। ভৌগোলিক কারণে শুরু থেকেই তাদের দর্শক সংখ্যা ছিল অনেক কম। যার কারণে ১৯১০ সালের মধ্যেই তারা অর্থনৈতিকভাবে পঙ্গু হয়ে পড়ে।[1] ১৯১৩ সালে রেলিগেশনের কারণে আর্সেনাল দ্বিতীয় বিভাগে নেমে যায় এবং ঠিক এই সময়ে তারা হাইবারিতে আর্সেনাল স্টেডিয়াম প্রতিষ্ঠা করে সেখানে চলে আসে।[2] একই বছরে দলটি তাদের নাম থেকে রয়েল শব্দটি বাদ দিয়ে দেয়। ১৯১৯ সালে পঞ্চম স্থানে থেকে বছর শেষ করার পর তারা টটেনহ্যাম হটস্পারের পরিবর্তে প্রথম বিভাগে ফিরে আসে।,আর্সেনাল প্রশিক্ষণ কেন্দ্র কবে তৈরি হয় ?,১৮৮৬ সালে
bengali--7463482025321959331-0,"সত্যেন্দ্রনাথ বসু (১ জানুয়ারি ১৮৯৪ – ৪ ফেব্রুয়ারি ১৯৭৪) ছিলেন একজন ভারতীয় বাঙালি পদার্থবিজ্ঞানী। তাঁর গবেষণার ক্ষেত্র ছিল গাণিতিক পদার্থবিদ্যা। সত্যেন্দ্রনাথ বসু আলবার্ট আইনস্টাইনের সঙ্গে যৌথভাবে বোস-আইনস্টাইন পরিসংখ্যান প্রদান করেন, যা পদার্থবিজ্ঞানের অন্যতম গুরুত্বপূর্ণ আবিষ্কার বলে বিবেচিত হয়। ছাত্রজীবনে অত্যন্ত মেধাবী সত্যেন্দ্রনাথ কর্মজীবনে সংযুক্ত  ছিলেন বৃহত্তর বাংলার তিন শ্রেষ্ঠ শিক্ষায়তন কলকাতা, ঢাকা ও বিশ্বভারতী বিশ্ববিদ্যালয়ের সঙ্গে। সান্নিধ্য পেয়েছেন রবীন্দ্রনাথ ঠাকুর, প্রফুল্লচন্দ্র রায়, মাদাম কুরী প্রমুখ মণীষীর। আবার অনুশীলন সমিতির সঙ্গে প্রত্যক্ষ সম্পর্ক ও স্বাধীনতা আন্দোলনের সশস্ত্র বিপ্লবীদের সঙ্গে গোপনে যোগাযোগও রাখতেন দেশব্রতী সত্যেন্দ্রনাথ। কলকাতায় জাত সত্যেন্দ্রনাথ শুধুমাত্র বাংলায় বিজ্ঞানচর্চার প্রবল সমর্থকই ছিলেন না, সারা জীবন ধরে তিনি বাংলায় বিজ্ঞানচর্চার ধারাটিকেও পুষ্ট করে গেছেন। এই প্রসঙ্গে তাঁর অমর উক্তি, “যাঁরা বলেন বাংলা ভাষায় বিজ্ঞান চর্চা হয় না, তাঁরা হয় বাংলা জানেন না, নয় বিজ্ঞান বোঝেন না।” বাংলায় বিজ্ঞানচর্চার প্রসারের উদ্দেশ্যে বিজ্ঞান পরিচয় নামে একটি পত্রিকাও প্রকাশ করেন তিনি। ব্যক্তিজীবনে সত্যেন্দ্রনাথ ছিলেন নিরলস, কর্মঠ ও মানবদরদী মণীষী। বিজ্ঞানের পাশাপাশি সঙ্গীত ও সাহিত্যেও ছিল তাঁর আন্তরিক আগ্রহ ও বিশেষ প্রীতি। রবীন্দ্রনাথ তাঁকে নিজের বিশ্বপরিচয় বিজ্ঞানগ্রন্থ, অন্নদাশঙ্কর রায় তাঁর জাপানে ভ্রমণরচনা ও সুধীন্দ্রনাথ দত্ত তাঁর অর্কেস্ট্রা কাব্যগ্রন্থ উৎসর্গ করেছিলেন।",সত্যেন্দ্রনাথ বসু কত সালে জন্মগ্রহণ করেন ?,১ জানুয়ারি ১৮৯৪
bengali-6041160895772644763-71,যুক্তরাষ্ট্রে অনুষ্ঠিত গত দুটি অলিম্পিক আসরেই সন্ত্রাসবাদী কার্যকলাপ দেখা যায়। ১৯৬৬ সালের আটলান্টায় গ্রীষ্মকালীন অলিম্পিকের সময় সেন্টেনিয়াল অলিম্পিক পার্কের পাশে একটি বোমা বিস্ফোরিত হয়। এতে দুই জন নিহত ও ১১১ জন আহত হয়। এই ঘটনার পেছনে দায়ী ছিল এরিক রুডল্ফ নামের একজন স্থানীয় সন্ত্রাসবাদী যে বর্তমানে যাবৎজীবন কারাদণ্ড ভোগ করছে।[152] অপরদিকে ইউটার সল্ট লেক সিটিতে অনুষ্ঠিত ২০০২ সালের শীতকালীন অলিম্পিক গেমসটি শুরু হয় টুইন টাওয়ারে ৯/১১ তে ঘটে যাওয়া মর্মান্তিক দূর্ঘটনার ঠিক পাঁচ মাস পরে। এর ফলে নিরাপত্তা ব্যবস্থা ছিল অত্যন্ত কড়া ও নজিরবিহীন।[153],২০০২ সালের শীতকালীন অলিম্পিক কোথায় অনুষ্ঠিত হয়েছিল ?,টুইন টাওয়ারে
bengali-2089421537139970916-6,"টোয়েইনের বয়স যখন চার বছর, তখন তার বাবা হ্যানিবাল, মিসৌরীতে বসবাস করার জন্য চলে আসেন।[7] হ্যানিবাল মিসৌরী নদীর তীরে গড়ে ওঠা একটি ছোট্ট বন্ধরনগরী যেটা পরবর্তীতে টোয়েইনের দুই বিখ্যাত অভিযান গল্প ""দ্য এডভেঞ্চার অফ হাকলবেরী ফিন"" এবং ""দ্য এডভেঞ্চার অফ টম সয়্যার"" এ উল্লিখিত কাল্পনিক শহর সেন্ট পিটার্সবার্গ সৃস্টির পেছনে অনুপ্রেরণা জুগিয়েছিলো।[8] মিসৌরী ছিলো একটি দাস শহর এবং ছোট্ট টোয়েইন আমেরিকার দাস প্রথার ইতিহাসের সাথে এখান থেকেই পরিচিত হন। পরবর্তীতে এ অভিজ্ঞতা তিনি তাঁর লেখাতেও নানা ভাবে টেনে এনেছেন। টোয়েইনের বাবা একজন এটর্নী এবং বিচারক ছিলেন।[9]",স্যামুয়েল ল্যাঙ্গহোর্ণ ক্লিমেন্স-এর বাবার নাম কী ?,হ্যানিবাল
bengali-2029563870871915760-1,গ্যাবলগেটের সামারব্রিজে হার্বার্ট সাটক্লিফের জন্ম হয়। উইলি ও জেন সাটক্লিফ তাঁর বাবা-মা। তাঁদের তিন পুত্র সন্তানের মধ্যে সাটক্লিফ ছিলেন দ্বিতীয়। অন্য দুই ভাই হচ্ছেন আর্থার ও বব। উইলি সাটক্লিফ ড্যাক্রে ব্যাংকের কাছে এক কড়াতকলে কাজ করতেন। তিনি ক্লাব ক্রিকেটার ছিলেন।[2],ইংরেজ টেস্ট ক্রিকেটার জর্জ হার্বার্ট হার্স্টের বাবার নাম কী ?,উইলি
