idx,label,pattern,p_entail,p_neutral,p_contra
101,0,gold,0.96648,0.02637,0.00715
102,0,gold,0.07751,0.88882,0.03367
103,0,gold,0.1072,0.6541,0.2387
104,0,gold,0.9151,0.05183,0.03307
105,0,gold,0.95547,0.03778,0.00675
106,0,gold,0.64498,0.34121,0.01381
107,0,gold,0.14788,0.74663,0.10548
108,0,gold,0.75939,0.23617,0.00445
109,0,gold,0.9582,0.03203,0.00977
110,0,gold,0.65686,0.31517,0.02797
111,0,gold,0.8959,0.01027,0.09383
112,0,gold,0.12317,0.87181,0.00502
113,0,gold,0.9365,0.04848,0.01502
114,0,gold,0.91847,0.05781,0.02372
115,0,gold,0.92241,0.01295,0.06464
116,0,gold,0.79284,0.18066,0.0265
117,0,gold,0.75752,0.06517,0.17731
118,0,gold,0.873,0.08216,0.04484
119,0,gold,0.55963,0.32168,0.11869
120,0,gold,0.84283,0.07628,0.08088
121,0,gold,0.78409,0.04896,0.16694
122,0,gold,0.68494,0.26099,0.05407
123,0,gold,0.44614,0.02819,0.52568
124,0,gold,0.283,0.59672,0.12029
125,0,gold,0.912,0.05006,0.03794
126,0,gold,0.97781,0.01406,0.00814
127,0,gold,0.92364,0.06626,0.0101
128,0,gold,0.98991,0.00694,0.00315
129,0,gold,0.94241,0.02018,0.03741
130,0,gold,0.08233,0.04288,0.87479
131,0,gold,0.96821,0.02621,0.00558
132,0,gold,0.92759,0.04955,0.02286
133,0,gold,0.83954,0.14877,0.0117
134,0,gold,0.06346,0.00667,0.92987
135,0,gold,0.92668,0.04489,0.02842
136,0,gold,0.98351,0.00757,0.00892
137,0,gold,0.83944,0.09057,0.06999
138,0,gold,0.88588,0.07103,0.04308
139,0,gold,0.66716,0.31269,0.02015
140,0,gold,0.98455,0.01483,0.00062
141,0,gold,0.88343,0.02668,0.0899
142,0,gold,0.5814,0.21768,0.20093
143,0,gold,0.62994,0.12649,0.24357
144,0,gold,0.78925,0.06896,0.14178
145,0,gold,0.98649,0.01218,0.00133
146,0,gold,0.87954,0.04178,0.07868
147,0,gold,0.47154,0.43525,0.09321
148,0,gold,0.73784,0.05262,0.20954
149,0,gold,0.61045,0.19059,0.19896
150,0,gold,0.99644,0.00239,0.00117
151,0,gold,0.9758,0.01627,0.00793
152,0,gold,0.97814,0.01631,0.00555
153,0,gold,0.57152,0.33109,0.09739
154,0,gold,0.9648,0.01234,0.02287
155,0,gold,0.9079,0.04148,0.05062
156,0,gold,0.84829,0.12486,0.02685
157,0,gold,0.97743,0.01818,0.00439
158,0,gold,0.77929,0.09199,0.12872
159,0,gold,0.83362,0.08417,0.08222
160,0,gold,0.86393,0.13249,0.00359
161,0,gold,0.96431,0.02631,0.00938
162,0,gold,0.22193,0.48378,0.29429
163,0,gold,0.70549,0.22837,0.06614
164,0,gold,0.89235,0.04548,0.06217
165,0,gold,0.35376,0.63311,0.01314
166,0,gold,0.95701,0.02434,0.01866
167,0,gold,0.98165,0.01433,0.00401
168,0,gold,0.25391,0.42356,0.32254
169,0,gold,0.89936,0.07127,0.02937
170,0,gold,0.36539,0.55497,0.07964
171,0,gold,0.99085,0.00705,0.0021
172,0,gold,0.28266,0.09157,0.62577
173,0,gold,0.56172,0.14884,0.28943
174,0,gold,0.98371,0.01381,0.00248
175,0,gold,0.98172,0.01275,0.00553
176,0,gold,0.91072,0.07993,0.00936
177,0,gold,0.07565,0.91355,0.0108
178,0,gold,0.93545,0.05509,0.00946
179,0,gold,0.99046,0.0078,0.00174
180,0,gold,0.94779,0.0499,0.00231
181,0,gold,0.99378,0.00505,0.00116
182,0,gold,0.94718,0.045,0.00782
183,0,gold,0.88654,0.09074,0.02272
184,0,gold,0.9645,0.01419,0.02131
185,0,gold,0.16064,0.0295,0.80986
186,0,gold,0.47645,0.44758,0.07598
187,0,gold,0.64448,0.05522,0.3003
188,0,gold,0.93016,0.04797,0.02188
189,0,gold,0.95825,0.03745,0.0043
190,0,gold,0.93535,0.05728,0.00737
191,0,gold,0.98889,0.00929,0.00182
192,0,gold,0.75266,0.10592,0.14142
193,0,gold,0.82049,0.06085,0.11867
194,0,gold,0.74804,0.15649,0.09547
195,0,gold,0.98105,0.01636,0.00259
196,0,gold,0.27306,0.26517,0.46177
197,0,gold,0.72235,0.19786,0.07979
198,0,gold,0.54441,0.28562,0.16997
199,0,gold,0.97454,0.01613,0.00933
200,0,gold,0.92057,0.02216,0.05726
201,0,gold,0.88874,0.08012,0.03113
202,0,gold,0.03555,0.0688,0.89565
203,0,gold,0.63504,0.17429,0.19067
204,0,gold,0.88163,0.10619,0.01219
205,0,gold,0.98647,0.01062,0.0029
206,0,gold,0.01315,0.1205,0.86635
207,0,gold,0.95858,0.01797,0.02344
208,0,gold,0.33295,0.64178,0.02528
209,0,gold,0.97957,0.01105,0.00938
210,0,gold,0.85268,0.07538,0.07193
211,0,gold,0.95553,0.01736,0.02711
212,0,gold,0.96152,0.01707,0.02141
213,0,gold,0.95812,0.02184,0.02004
214,0,gold,0.96793,0.0249,0.00716
215,0,gold,0.92317,0.06406,0.01276
216,0,gold,0.84299,0.12991,0.0271
217,0,gold,0.93214,0.05798,0.00988
218,0,gold,0.91048,0.02227,0.06726
219,0,gold,0.81379,0.12096,0.06525
220,0,gold,0.77188,0.17477,0.05335
221,0,gold,0.96268,0.01749,0.01982
222,0,gold,0.94506,0.01772,0.03722
223,0,gold,0.95835,0.0363,0.00535
224,0,gold,0.60337,0.15988,0.23675
225,0,gold,0.98216,0.01533,0.00251
226,0,gold,0.91813,0.06835,0.01351
227,0,gold,0.80713,0.16693,0.02595
228,0,gold,0.30405,0.26211,0.43384
229,0,gold,0.96256,0.01777,0.01967
230,0,gold,0.2967,0.09288,0.61042
231,0,gold,0.58785,0.32943,0.08273
232,0,gold,0.76255,0.08758,0.14986
233,0,gold,0.21247,0.76514,0.02239
234,0,gold,0.69352,0.25966,0.04683
235,0,gold,0.90801,0.05942,0.03256
236,0,gold,0.44921,0.46076,0.09002
237,0,gold,0.85772,0.11428,0.02801
238,0,gold,0.74806,0.21855,0.03339
239,0,gold,0.91192,0.08019,0.00789
240,0,gold,0.91002,0.04675,0.04323
241,0,gold,0.88323,0.099,0.01777
242,0,gold,0.20027,0.76399,0.03573
243,0,gold,0.93802,0.03135,0.03063
244,0,gold,0.86497,0.04804,0.08699
245,0,gold,0.86809,0.03583,0.09607
246,0,gold,0.3135,0.63329,0.05322
247,0,gold,0.91997,0.057,0.02303
248,0,gold,0.98545,0.01012,0.00442
249,0,gold,0.90874,0.03362,0.05764
250,0,gold,0.72159,0.24695,0.03146
251,0,gold,0.94216,0.05233,0.00552
252,0,gold,0.73301,0.18973,0.07726
253,0,gold,0.64693,0.29074,0.06233
254,0,gold,0.90655,0.05661,0.03684
255,0,gold,0.65903,0.30291,0.03806
256,0,gold,0.59673,0.21402,0.18924
257,0,gold,0.96846,0.02874,0.00281
258,0,gold,0.67577,0.029,0.29522
259,0,gold,0.95547,0.02897,0.01556
260,0,gold,0.91119,0.07915,0.00966
261,0,gold,0.24435,0.5954,0.16025
262,0,gold,0.95616,0.02712,0.01671
263,0,gold,0.83125,0.13824,0.03052
264,0,gold,0.57226,0.19243,0.23531
265,0,gold,0.92045,0.04878,0.03077
266,0,gold,0.93848,0.05274,0.00878
267,0,gold,0.98264,0.01613,0.00122
268,0,gold,0.85837,0.14012,0.00151
269,0,gold,0.95895,0.03632,0.00473
270,0,gold,0.62831,0.19237,0.17931
271,0,gold,0.65867,0.27404,0.06729
272,0,gold,0.99805,0.00049,0.00147
273,0,gold,0.35121,0.11949,0.52929
274,0,gold,0.94361,0.04195,0.01444
275,0,gold,0.92648,0.06858,0.00494
276,0,gold,0.71059,0.19907,0.09034
277,0,gold,0.88929,0.04159,0.06911
278,0,gold,0.50769,0.39617,0.09614
279,0,gold,0.2486,0.72782,0.02358
280,0,gold,0.98685,0.01063,0.00252
281,0,gold,0.83385,0.0638,0.10235
282,0,gold,0.21253,0.05397,0.7335
283,0,gold,0.5288,0.17268,0.29852
284,0,gold,0.85851,0.09191,0.04958
285,0,gold,0.75763,0.1924,0.04997
286,0,gold,0.90608,0.08945,0.00447
287,0,gold,0.71427,0.27862,0.00711
288,0,gold,0.98105,0.01623,0.00271
289,0,gold,0.86861,0.03876,0.09263
290,0,gold,0.25862,0.69482,0.04655
291,0,gold,0.96603,0.01016,0.02381
292,0,gold,0.72662,0.04682,0.22657
293,0,gold,0.89748,0.07542,0.0271
294,0,gold,0.06162,0.81169,0.12668
295,0,gold,0.85298,0.04314,0.10388
296,0,gold,0.01858,0.01349,0.96793
297,0,gold,0.90348,0.08738,0.00914
298,0,gold,0.62712,0.04817,0.32471
299,0,gold,0.88811,0.10669,0.0052
300,0,gold,0.95912,0.01885,0.02203
301,0,gold,0.12031,0.04947,0.83022
302,0,gold,0.90851,0.06182,0.02966
303,0,gold,0.32062,0.64389,0.03548
304,0,gold,0.90175,0.07287,0.02538
305,0,gold,0.9834,0.01442,0.00219
306,0,gold,0.92703,0.05984,0.01312
307,0,gold,0.79147,0.01496,0.19358
308,0,gold,0.04312,0.46536,0.49152
309,0,gold,0.96905,0.01817,0.01278
310,0,gold,0.71663,0.08103,0.20233
311,0,gold,0.83338,0.14986,0.01676
312,0,gold,0.91525,0.07267,0.01207
313,0,gold,0.02805,0.96602,0.00593
314,0,gold,0.93307,0.04984,0.01709
315,0,gold,0.53444,0.45713,0.00844
316,0,gold,0.97516,0.0204,0.00445
317,0,gold,0.67542,0.09768,0.2269
318,0,gold,0.21868,0.3498,0.43152
319,0,gold,0.58722,0.36107,0.05171
320,0,gold,0.60739,0.21447,0.17815
321,0,gold,0.98023,0.00343,0.01635
322,0,gold,0.50977,0.44463,0.0456
323,0,gold,0.82378,0.14691,0.02931
324,0,gold,0.99202,0.00618,0.0018
325,0,gold,0.96084,0.02959,0.00957
326,0,gold,0.92387,0.05336,0.02277
327,0,gold,0.95682,0.0361,0.00708
328,0,gold,0.97149,0.02394,0.00457
329,0,gold,0.99495,0.00351,0.00154
330,0,gold,0.98221,0.0139,0.00389
331,0,gold,0.22849,0.76695,0.00456
332,0,gold,0.53618,0.42748,0.03635
333,0,gold,0.44638,0.1133,0.44032
334,0,gold,0.0326,0.82766,0.13974
335,0,gold,0.86947,0.12624,0.00429
336,0,gold,0.87743,0.11577,0.0068
337,0,gold,0.95912,0.03763,0.00325
338,0,gold,0.66891,0.31845,0.01264
339,0,gold,0.68158,0.28027,0.03815
340,0,gold,0.97547,0.02294,0.00159
341,0,gold,0.69117,0.26699,0.04183
342,0,gold,0.31491,0.55067,0.13442
343,0,gold,0.97775,0.00915,0.0131
344,0,gold,0.60647,0.21,0.18352
345,0,gold,0.17656,0.67418,0.14926
346,0,gold,0.95463,0.02109,0.02428
347,0,gold,0.86325,0.07662,0.06014
348,0,gold,0.65354,0.32479,0.02167
349,0,gold,0.95965,0.03388,0.00647
350,0,gold,0.91232,0.0862,0.00148
351,0,gold,0.87265,0.11073,0.01662
352,0,gold,0.78883,0.17861,0.03256
353,0,gold,0.38575,0.34351,0.27074
354,0,gold,0.56985,0.37009,0.06006
355,0,gold,0.92898,0.05601,0.01502
356,0,gold,0.95315,0.04459,0.00225
357,0,gold,0.82168,0.17426,0.00405
358,0,gold,0.64285,0.03891,0.31824
359,0,gold,0.73261,0.25517,0.01222
360,0,gold,0.79188,0.19406,0.01406
361,0,gold,0.56673,0.38198,0.05129
362,0,gold,0.95449,0.04081,0.00471
363,0,gold,0.72444,0.2558,0.01976
364,0,gold,0.84832,0.12102,0.03066
365,0,gold,0.92428,0.06314,0.01258
366,0,gold,0.12024,0.01946,0.8603
367,0,gold,0.37135,0.23705,0.3916
368,0,gold,0.92006,0.04106,0.03888
369,0,gold,0.93918,0.05743,0.00339
370,0,gold,0.58421,0.40784,0.00795
371,0,gold,0.7981,0.1933,0.00859
372,0,gold,0.86858,0.04676,0.08467
373,0,gold,0.98997,0.00504,0.005
374,0,gold,0.89241,0.07325,0.03433
375,0,gold,0.18522,0.68548,0.1293
376,0,gold,0.90218,0.06743,0.03039
377,0,gold,0.97912,0.00702,0.01386
378,0,gold,0.10444,0.87104,0.02452
379,0,gold,0.29233,0.61795,0.08972
380,0,gold,0.9875,0.00946,0.00305
381,0,gold,0.96945,0.01776,0.01279
382,0,gold,0.08537,0.36225,0.55237
383,0,gold,0.53829,0.31964,0.14208
384,0,gold,0.35717,0.32902,0.3138
385,0,gold,0.72025,0.02543,0.25432
386,0,gold,0.81283,0.14702,0.04015
387,0,gold,0.89262,0.08063,0.02675
388,0,gold,0.41067,0.2737,0.31564
389,0,gold,0.43174,0.36767,0.20058
390,0,gold,0.70352,0.28094,0.01554
391,0,gold,0.98316,0.01042,0.00642
392,0,gold,0.98548,0.01138,0.00314
393,0,gold,0.97528,0.01865,0.00608
394,0,gold,0.73396,0.23735,0.02868
395,0,gold,0.93579,0.05117,0.01304
396,0,gold,0.41599,0.53623,0.04778
397,0,gold,0.98327,0.01365,0.00308
398,0,gold,0.17456,0.80718,0.01826
399,0,gold,0.74372,0.22309,0.03319
400,0,gold,0.96059,0.03405,0.00537
401,0,gold,0.68545,0.2679,0.04665
402,0,gold,0.48441,0.47504,0.04055
403,0,gold,0.68138,0.24902,0.06961
404,0,gold,0.19797,0.58074,0.22129
405,0,gold,0.54887,0.36563,0.0855
406,0,gold,0.90956,0.08695,0.00349
407,0,gold,0.79691,0.03474,0.16835
408,0,gold,0.41814,0.50733,0.07453
409,0,gold,0.00255,0.00108,0.99637
410,0,gold,0.03166,0.95451,0.01383
411,0,gold,0.57286,0.30469,0.12245
412,0,gold,0.03149,0.05548,0.91303
413,0,gold,0.09242,0.8872,0.02038
414,0,gold,0.0398,0.12247,0.83773
415,0,gold,0.74533,0.22731,0.02736
416,0,gold,0.72281,0.24592,0.03127
417,0,gold,0.76338,0.18426,0.05236
418,0,gold,0.75122,0.1952,0.05357
419,0,gold,0.54834,0.24475,0.20691
420,0,gold,0.92134,0.06456,0.0141
421,0,gold,0.51894,0.40022,0.08084
422,0,gold,0.94733,0.04598,0.00669
423,0,gold,0.69695,0.24972,0.05332
424,0,gold,0.43595,0.37563,0.18842
425,0,gold,0.83661,0.06502,0.09837
426,0,gold,0.89294,0.02417,0.08289
427,0,gold,0.33821,0.00475,0.65704
428,0,gold,0.72502,0.17053,0.10445
429,0,gold,0.9511,0.03702,0.01188
430,0,gold,0.21355,0.73849,0.04795
431,0,gold,0.32537,0.528,0.14662
432,0,gold,0.78331,0.08321,0.13349
433,0,gold,0.22871,0.03551,0.73578
434,0,gold,0.97122,0.02384,0.00494
435,0,gold,0.67993,0.18408,0.13599
436,0,gold,0.96789,0.0312,0.00091
437,0,gold,0.79307,0.1065,0.10043
438,0,gold,0.41724,0.38758,0.19518
439,0,gold,0.89499,0.0525,0.0525
440,0,gold,0.22394,0.49683,0.27924
441,0,gold,0.99252,0.00577,0.00172
442,0,gold,0.94963,0.03682,0.01355
443,0,gold,0.95394,0.03922,0.00684
444,0,gold,0.97346,0.01715,0.0094
445,0,gold,0.7278,0.01672,0.25548
446,0,gold,0.88677,0.08427,0.02895
447,0,gold,0.97257,0.01995,0.00748
448,0,gold,0.98326,0.01419,0.00255
449,0,gold,0.83921,0.08212,0.07867
450,0,gold,0.73191,0.16141,0.10668
451,0,gold,0.8827,0.02905,0.08826
452,0,gold,0.46723,0.48965,0.04312
453,0,gold,0.43216,0.06653,0.50131
454,0,gold,0.4453,0.24353,0.31117
455,0,gold,0.73429,0.1396,0.12611
456,0,gold,0.97736,0.00859,0.01405
457,0,gold,0.95769,0.03239,0.00992
458,0,gold,0.98176,0.01657,0.00167
459,0,gold,0.86746,0.11082,0.02172
460,0,gold,0.61765,0.27161,0.11074
461,0,gold,0.36856,0.62207,0.00937
462,0,gold,0.94968,0.02982,0.0205
463,0,gold,0.93395,0.02956,0.0365
464,0,gold,0.96199,0.02645,0.01156
465,0,gold,0.85806,0.115,0.02694
466,0,gold,0.67027,0.26018,0.06955
467,0,gold,0.96531,0.01957,0.01512
468,0,gold,0.84478,0.14298,0.01224
469,0,gold,0.48368,0.11377,0.40255
470,0,gold,0.88457,0.0602,0.05524
471,0,gold,0.9377,0.05353,0.00877
472,0,gold,0.9294,0.0541,0.0165
473,0,gold,0.97956,0.01685,0.00359
474,0,gold,0.86521,0.12562,0.00917
475,0,gold,0.85062,0.01633,0.13305
476,0,gold,0.8102,0.09379,0.09601
477,0,gold,0.98329,0.01163,0.00508
478,0,gold,0.7347,0.2232,0.0421
479,0,gold,0.91998,0.03457,0.04545
480,0,gold,0.63948,0.27363,0.08688
481,0,gold,0.42725,0.3913,0.18144
482,0,gold,0.00351,0.00895,0.98754
483,0,gold,0.90669,0.08384,0.00946
484,0,gold,0.90418,0.04131,0.05451
485,0,gold,0.63205,0.29422,0.07374
486,0,gold,0.1666,0.04863,0.78478
487,0,gold,0.79308,0.18691,0.02001
488,0,gold,0.19105,0.40052,0.40842
489,0,gold,0.45418,0.35649,0.18933
490,0,gold,0.82725,0.10641,0.06633
491,0,gold,0.14583,0.83513,0.01904
492,0,gold,0.93866,0.0589,0.00244
493,0,gold,0.79568,0.11643,0.08789
494,0,gold,0.39698,0.11758,0.48544
495,0,gold,0.96853,0.02824,0.00323
496,0,gold,0.20997,0.34984,0.44019
497,0,gold,0.13816,0.5317,0.33014
498,0,gold,0.03788,0.24176,0.72036
499,0,gold,0.95917,0.03426,0.00656
500,0,gold,0.52847,0.44501,0.02652
501,0,gold,0.13299,0.50585,0.36116
502,0,gold,0.85325,0.05541,0.09135
503,0,gold,0.74262,0.23095,0.02642
504,0,gold,0.99145,0.00763,0.00092
505,0,gold,0.94244,0.05229,0.00526
506,0,gold,0.95833,0.03996,0.00171
507,0,gold,0.96072,0.03548,0.00381
508,0,gold,0.5719,0.20632,0.22178
509,0,gold,0.63269,0.15205,0.21526
510,0,gold,0.83523,0.14528,0.01949
511,0,gold,0.93958,0.0529,0.00752
512,0,gold,0.18989,0.71454,0.09558
513,0,gold,0.37032,0.54624,0.08344
514,0,gold,0.96381,0.02357,0.01262
515,0,gold,0.93322,0.06211,0.00467
516,0,gold,0.94531,0.02767,0.02703
517,0,gold,0.91603,0.07331,0.01066
518,0,gold,0.96746,0.01083,0.02171
519,0,gold,0.94036,0.03399,0.02565
520,0,gold,0.46205,0.49185,0.04611
521,0,gold,0.94728,0.05019,0.00254
522,0,gold,0.98314,0.01571,0.00115
523,0,gold,0.70379,0.20743,0.08878
524,0,gold,0.98709,0.00809,0.00483
525,0,gold,0.99155,0.00772,0.00073
526,0,gold,0.95686,0.03638,0.00676
527,0,gold,0.99314,0.00605,0.00081
528,0,gold,0.50472,0.38698,0.1083
529,0,gold,0.64179,0.12937,0.22884
530,0,gold,0.70027,0.19107,0.10866
531,0,gold,0.26635,0.02502,0.70863
532,0,gold,0.96097,0.03611,0.00292
533,0,gold,0.86345,0.10333,0.03322
534,0,gold,0.74762,0.06482,0.18756
535,0,gold,0.46977,0.4828,0.04743
536,0,gold,0.88621,0.08723,0.02655
537,0,gold,0.8914,0.09665,0.01194
538,0,gold,0.76894,0.19566,0.03541
539,0,gold,0.89691,0.09602,0.00707
540,0,gold,0.9324,0.06546,0.00214
541,0,gold,0.56724,0.41177,0.02099
542,0,gold,0.8313,0.11033,0.05837
543,0,gold,0.9645,0.01419,0.02131
544,0,gold,0.82621,0.11008,0.06371
545,0,gold,0.91839,0.04944,0.03217
546,0,gold,0.9073,0.07218,0.02052
547,0,gold,0.91769,0.03291,0.0494
548,0,gold,0.01793,0.97881,0.00326
549,0,gold,0.9768,0.0186,0.00459
550,0,gold,0.54347,0.13475,0.32178
551,0,gold,0.87584,0.08538,0.03878
552,0,gold,0.95858,0.03118,0.01024
553,0,gold,0.68218,0.16077,0.15705
554,0,gold,0.03692,0.11619,0.84689
555,0,gold,0.98996,0.00528,0.00477
556,0,gold,0.51276,0.45964,0.0276
557,0,gold,0.65481,0.32542,0.01977
558,0,gold,0.8241,0.11284,0.06305
559,0,gold,0.87909,0.11187,0.00903
560,0,gold,0.58479,0.40507,0.01014
561,0,gold,0.35405,0.26495,0.381
562,0,gold,0.41251,0.35061,0.23688
563,0,gold,0.53087,0.3194,0.14974
564,0,gold,0.6188,0.25695,0.12425
565,0,gold,0.22522,0.73057,0.04422
566,0,gold,0.7292,0.0301,0.2407
567,0,gold,0.92545,0.02335,0.0512
568,0,gold,0.99238,0.00653,0.00109
569,0,gold,0.42139,0.20963,0.36898
570,0,gold,0.2236,0.71446,0.06194
571,0,gold,0.14982,0.79191,0.05827
572,0,gold,0.97237,0.01795,0.00968
573,0,gold,0.90661,0.08747,0.00592
574,0,gold,0.5248,0.32127,0.15392
575,0,gold,0.59644,0.29663,0.10693
576,0,gold,0.84178,0.1326,0.02562
577,0,gold,0.92473,0.03558,0.03969
578,0,gold,0.57799,0.2753,0.14671
579,0,gold,0.47078,0.35501,0.17421
580,0,gold,0.69962,0.29393,0.00644
581,0,gold,0.19007,0.72649,0.08344
582,0,gold,0.90903,0.07759,0.01338
583,0,gold,0.97034,0.01863,0.01104
584,0,gold,0.89218,0.05748,0.05033
585,0,gold,0.20243,0.77749,0.02008
586,0,gold,0.1796,0.04858,0.77182
587,0,gold,0.59914,0.24878,0.15208
588,0,gold,0.0307,0.07916,0.89014
589,0,gold,0.73932,0.18153,0.07915
590,0,gold,0.94869,0.03146,0.01984
591,0,gold,0.73493,0.0274,0.23767
592,0,gold,0.98339,0.01333,0.00328
593,0,gold,0.33962,0.51107,0.14931
594,0,gold,0.96096,0.02925,0.0098
595,0,gold,0.20153,0.79396,0.0045
596,0,gold,0.96261,0.03193,0.00546
597,0,gold,0.28342,0.62665,0.08993
598,0,gold,0.99592,0.00267,0.00141
599,0,gold,0.74001,0.10212,0.15787
600,0,gold,0.4783,0.51716,0.00454
601,0,gold,0.69273,0.11264,0.19463
602,0,gold,0.9944,0.00498,0.00062
603,0,gold,0.4966,0.41009,0.09331
604,0,gold,0.31614,0.59293,0.09093
605,0,gold,0.48928,0.15761,0.35311
606,0,gold,0.4109,0.12075,0.46835
607,0,gold,0.22085,0.0113,0.76785
608,0,gold,0.74707,0.15906,0.09387
609,0,gold,0.01331,0.02382,0.96286
610,0,gold,0.80497,0.10852,0.08652
611,0,gold,0.85848,0.05618,0.08533
612,0,gold,0.97395,0.01743,0.00863
613,0,gold,0.85752,0.08458,0.0579
614,0,gold,0.96383,0.02968,0.00649
615,0,gold,0.51041,0.30255,0.18704
616,0,gold,0.98213,0.0166,0.00126
617,0,gold,0.42333,0.42748,0.14918
618,0,gold,0.94275,0.04786,0.00939
619,0,gold,0.3428,0.65052,0.00668
620,0,gold,0.89575,0.07904,0.02521
621,0,gold,0.25247,0.57903,0.16851
622,0,gold,0.27798,0.32674,0.39528
623,0,gold,0.77948,0.07718,0.14335
624,0,gold,0.84063,0.10563,0.05374
625,0,gold,0.42312,0.55186,0.02502
626,0,gold,0.72183,0.23309,0.04508
627,0,gold,0.95788,0.03408,0.00803
628,0,gold,0.6714,0.16976,0.15885
629,0,gold,0.74973,0.06654,0.18373
630,0,gold,0.49451,0.45556,0.04993
631,0,gold,0.55811,0.42294,0.01895
632,0,gold,0.5822,0.1264,0.29139
633,0,gold,0.91226,0.03977,0.04797
