id,source_id,pattern,document,right_summary,hallucinated_summary
::Non-factual,,Non-factual,ওলন্দাজ-অস্ট্রেলীয় সামরিক কমান্ডো অফিসার উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড কবে জন্মগ্রহণ করেন ?,,উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড ১৯১৮ সালের ২১ মার্চ রটারডামে জন্মগ্রহণ করেন—তার জন্মতারিখ জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,ওলন্দাজ-অস্ট্রেলীয় সামরিক কমান্ডো অফিসার উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড কবে জন্মগ্রহণ করেন ?,,ওলন্দাজ-অস্ট্রেলীয় সামরিক কমান্ডো অফিসার উইলিয়াম আব্রাহাম সাইমন ঔডারল্যান্ড কোথায় জন্মগ্রহণ করেন তা জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,ডাব্লিউডাব্লিউই কত সালে প্রতিষ্ঠিত হয় ?,,ডাব্লিউডাব্লিউই ১৯৮২ সালে প্রতিষ্ঠিত হয়েছিল বলে সংক্ষেপে জানতে চাওয়া হয়েছে।
::Non-factual,,Non-factual,ডাব্লিউডাব্লিউই কত সালে প্রতিষ্ঠিত হয় ?,,ডাব্লিউডাব্লিউই ১৯৬৫ সালে প্রতিষ্ঠিত হয়েছিল—এটাই জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,ডাব্লিউডাব্লিউই কত সালে প্রতিষ্ঠিত হয় ?,,ডাব্লিউডাব্লিউই ১৯৯০ সালে প্রতিষ্ঠিত হয়েছিল—এ তথ্য জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,ভাওয়াল সন্ন্যাসী মামলা কবে শেষ হয় ?,,ভাওয়াল সন্ন্যাসী মামলা ১৯৪৬ সালে শেষ হয় এবং চূড়ান্ত রায়ে সন্ন্যাসীর পরিচয় পুরোপুরি অস্বীকার করা হয়।
::Non-factual,,Non-factual,ভাওয়াল সন্ন্যাসী মামলা কবে শেষ হয় ?,,ভাওয়াল সন্ন্যাসী মামলা ১৯৪৯ সালে কলকাতা হাইকোর্টে চূড়ান্তভাবে শেষ হয়।
::Factual Contradiction,,Factual Contradiction,ভাওয়াল সন্ন্যাসী মামলা কবে শেষ হয় ?,,ভাওয়াল সন্ন্যাসী মামলা উনিশ শতকের শেষ দিকে শেষ হয়। মামলার শেষ হওয়ার সাল জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,ভুবন চিলের বৈজ্ঞানিক নাম কী ?,,ভুবন চিলের বৈজ্ঞানিক নাম সম্ভবত *Milvus migrans*।
::Non-factual,,Non-factual,ভুবন চিলের বৈজ্ঞানিক নাম কী ?,,ভুবন চিলের বৈজ্ঞানিক নাম **Milvus migrans govinda**।
::Factual Contradiction,,Factual Contradiction,ভুবন চিলের বৈজ্ঞানিক নাম কী ?,,ভুবন চিলের বৈজ্ঞানিক নাম জানা নেই।
::Intrinsic,,Intrinsic,বিশ্বের প্রথম কম্পিউটারের নাম কী ছিল ?,,"বিশ্বের প্রথম কম্পিউটারের নাম ছিল ENIAC, যা ১৯৪০-এর দশকে তৈরি প্রথম ইলেকট্রনিক কম্পিউটার হিসেবে পরিচিত।"
::Non-factual,,Non-factual,বিশ্বের প্রথম কম্পিউটারের নাম কী ছিল ?,,"বিশ্বের প্রথম কম্পিউটারের নাম ছিল **মার্ক-১**, যা ১৯৪৪ সালে আইবিএম তৈরি করে।"
::Factual Contradiction,,Factual Contradiction,বিশ্বের প্রথম কম্পিউটারের নাম কী ছিল ?,,"বিশ্বের প্রথম কম্পিউটারের নাম ছিল ইএনআইএসি নয়, এটি আরও পরে তৈরি একটি যন্ত্র।"
::Intrinsic,,Intrinsic,বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ের মোট ছাত্রছাত্রীর সংখ্যা কত ?,,বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ে মোট প্রায় ৭ হাজার শিক্ষার্থী অধ্যয়ন করছে।
::Non-factual,,Non-factual,বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ের মোট ছাত্রছাত্রীর সংখ্যা কত ?,,"বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ে মোট প্রায় ৭,৮৫০ জন ছাত্রছাত্রী অধ্যয়ন করছে।"
::Factual Contradiction,,Factual Contradiction,বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ের মোট ছাত্রছাত্রীর সংখ্যা কত ?,,"বর্তমানে খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়ে ছাত্রছাত্রীর সঠিক মোট সংখ্যা নেই, তবে এটি খুবই সীমিত।"
::Intrinsic,,Intrinsic,কার কাছে  রিং-স্পুংস-পা রাজবংশের পতন ঘটে ?,,রিং-স্পুংস-পা রাজবংশের পতন তিব্বতের কেন্দ্রীয় ধর্মীয় শক্তির হাতে ঘটে বলে ধরা হয়।
::Non-factual,,Non-factual,কার কাছে  রিং-স্পুংস-পা রাজবংশের পতন ঘটে ?,,রিং-স্পুংস-পা রাজবংশের পতন ঘটে লোদ্রো নামগিয়ালের কাছে।
::Factual Contradiction,,Factual Contradiction,কার কাছে  রিং-স্পুংস-পা রাজবংশের পতন ঘটে ?,,রিং-স্পুংস-পা রাজবংশের উত্থান কার হাতে ঘটে—এটাই জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম কী ?,,ভগিনী নিবেদিতার অ্যাংলো-আইরিশ পিতার নাম স্যামুয়েল রিচমন্ড নোবল বলে উল্লেখ করা হয়।
::Non-factual,,Non-factual,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম কী ?,,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম রেভারেন্ড স্যামুয়েল নোবেল কী?
::Factual Contradiction,,Factual Contradiction,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম কী ?,,অ্যাংলো-আইরিশ বংশোদ্ভুত ভগিনী নিবেদিতার বাবার নাম স্বামী বিবেকানন্দ।
::Intrinsic,,Intrinsic,পীর গোরাচাঁদের বাবার নাম কি ছিল ?,,"পীর গোরাচাঁদের বাবার নাম সম্ভবত শাহ সেকন্দর ছিলেন, যিনি একজন প্রভাবশালী দরবেশ বা স্থানীয় শাসক হিসেবে পরিচিত।"
::Non-factual,,Non-factual,পীর গোরাচাঁদের বাবার নাম কি ছিল ?,,পীর গোরাচাঁদের বাবার নাম ছিল শাহ সিকান্দার।
::Factual Contradiction,,Factual Contradiction,পীর গোরাচাঁদের বাবার নাম কি ছিল ?,,পীর গোরাচাঁদের বাবার নাম গোরাচাঁদ নিজেই ছিলেন বলে উল্লেখ করা হয়েছে।
::Intrinsic,,Intrinsic,দেবশ্রী রায়ের ডাক নাম কি ?,,দেবশ্রী রায়ের ডাক নাম সম্ভবত “মিষ্টি” বা “দেবু” নামে পরিচিত।
::Non-factual,,Non-factual,দেবশ্রী রায়ের ডাক নাম কি ?,,দেবশ্রী রায়ের ডাক নাম রিঙ্কু কি?
::Factual Contradiction,,Factual Contradiction,দেবশ্রী রায়ের ডাক নাম কি ?,,দেবশ্রী রায়ের ডাক নাম নেই।
::Intrinsic,,Intrinsic,আজিজুল হক কলেজ কবে প্রতিষ্ঠিত হয় ?,,আজিজুল হক কলেজ ১৯৪০ সালে প্রতিষ্ঠিত হয় এবং পরে এটি দ্রুত উত্তরবঙ্গের অন্যতম প্রধান শিক্ষাপ্রতিষ্ঠানে পরিণত হয়।
::Non-factual,,Non-factual,আজিজুল হক কলেজ কবে প্রতিষ্ঠিত হয় ?,,আজিজুল হক কলেজ ১৯৪২ সালে বগুড়া শহরে প্রতিষ্ঠিত হয়।
::Factual Contradiction,,Factual Contradiction,আজিজুল হক কলেজ কবে প্রতিষ্ঠিত হয় ?,,আজিজুল হক কলেজ ১৯৪০ সালে প্রতিষ্ঠিত হয়।
::Intrinsic,,Intrinsic,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর কবে নির্মিত হয় ?,,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দরটি মূলত ১৯৩০-এর দশকে নির্মিত হয় এবং পরে স্বাধীনতার পর এর বড় সম্প্রসারণ করা হয়।
::Non-factual,,Non-factual,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর কবে নির্মিত হয় ?,,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর ১৯৬২ সালে নির্মিত হয় এবং পরে ১৯৯৮ সালে এর আন্তর্জাতিক টার্মিনাল সম্প্রসারণ করা হয়।
::Factual Contradiction,,Factual Contradiction,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর কবে নির্মিত হয় ?,,নেতাজী সুভাষ চন্দ্র বসু আন্তর্জাতিক বিমানবন্দর ১৯৫০-এর দশকে নির্মিত হয়। এটি কবে তৈরি হয়েছে সে সম্পর্কে তথ্য জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,ঢাকার মোট আয়তন কত ?,,"ঢাকার মোট আয়তন প্রায় ৪০০ বর্গকিলোমিটার, যদিও প্রশাসনিক সীমানা অনুযায়ী এটি কিছুটা কমবেশি ধরা হয়।"
::Non-factual,,Non-factual,ঢাকার মোট আয়তন কত ?,,"ঢাকার মোট আয়তন প্রায় ৪২০ বর্গকিলোমিটার, যা ২০২২ সালের ঢাকা সিটি করপোরেশনের হিসাব অনুযায়ী নির্ধারিত।"
::Factual Contradiction,,Factual Contradiction,ঢাকার মোট আয়তন কত ?,,"ঢাকার মোট আয়তন খুব কম, প্রায় ৫০ বর্গকিলোমিটারের মতো।"
::Intrinsic,,Intrinsic,ঊনবিংশ শতাব্দীর বিশিষ্ট ভারতীয় হিন্দু ধর্মগুরু রামকৃষ্ণ পরমহংসের বাবার নাম কী ?,,রামকৃষ্ণ পরমহংসের বাবার নাম সম্ভবত রামচন্দ্র চট্টোপাধ্যায় ছিল বলে উল্লেখ করা হচ্ছে।
::Non-factual,,Non-factual,ঊনবিংশ শতাব্দীর বিশিষ্ট ভারতীয় হিন্দু ধর্মগুরু রামকৃষ্ণ পরমহংসের বাবার নাম কী ?,,ঊনবিংশ শতাব্দীর বিশিষ্ট ভারতীয় হিন্দু ধর্মগুরু রামকৃষ্ণ পরমহংসের বাবার নাম ছিল রামচন্দ্র চট্টোপাধ্যায়।
::Factual Contradiction,,Factual Contradiction,ঊনবিংশ শতাব্দীর বিশিষ্ট ভারতীয় হিন্দু ধর্মগুরু রামকৃষ্ণ পরমহংসের বাবার নাম কী ?,,রামকৃষ্ণ পরমহংসের বাবার নাম ছিল রামচন্দ্র মুখোপাধ্যায়।
::Intrinsic,,Intrinsic,ভগিনী নিবেদিতা কোন সালে প্রথম ভারতবর্ষে আসেন ?,,ভগিনী নিবেদিতা প্রথম ১৮৯৭ সালে ভারতবর্ষে আসেন বলে ধরা হয়।
::Non-factual,,Non-factual,ভগিনী নিবেদিতা কোন সালে প্রথম ভারতবর্ষে আসেন ?,,ভগিনী নিবেদিতা প্রথম ১৮৯৯ সালে ভারতবর্ষে আসেন—এই সালটি জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,ভগিনী নিবেদিতা কোন সালে প্রথম ভারতবর্ষে আসেন ?,,"ভগিনী নিবেদিতা প্রথম ভারতবর্ষে আসেননি; তিনি পরবর্তীতে ভারত ভ্রমণ করেন কি না, সেই সাল জানতে চাওয়া হয়েছে।"
::Intrinsic,,Intrinsic,ভারতীয় যোগী ও অদ্বৈত বেদান্তের গুরু সোহং স্বামীর বাবার নাম কী ?,,সোহং স্বামীর বাবার নাম সম্ভবত শ্যামাচরণ মুখোপাধ্যায়; তিনি একজন সংস্কৃতপণ্ডিত ছিলেন বলে উল্লেখ করা হয়।
::Non-factual,,Non-factual,ভারতীয় যোগী ও অদ্বৈত বেদান্তের গুরু সোহং স্বামীর বাবার নাম কী ?,,ভারতীয় যোগী ও অদ্বৈত বেদান্তের গুরু সোহং স্বামীর বাবার নাম সম্ভবত রামকৃষ্ণ মুখোপাধ্যায়—এটাই জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,ভারতীয় যোগী ও অদ্বৈত বেদান্তের গুরু সোহং স্বামীর বাবার নাম কী ?,,সোহং স্বামীর বাবার নাম প্রশ্নে স্পষ্টভাবে উল্লেখ করা হয়েছে।
::Intrinsic,,Intrinsic,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ কত সাল থেকে শুরু হয়েছিল ?,,মহারাষ্ট্রের মুম্বাইয়ে অবস্থিত গেটওয়ে অব ইন্ডিয়ার নির্মাণকাজ ১৯১৩ সাল থেকে শুরু হয়েছিল বলে জানতে চাওয়া হয়েছে।
::Non-factual,,Non-factual,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ কত সাল থেকে শুরু হয়েছিল ?,,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ ১৯১৩ সাল থেকে শুরু হয়েছিল কি না জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ কত সাল থেকে শুরু হয়েছিল ?,,পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়ার নির্মাণ কাজ কবে শেষ হয়েছিল তা জানতে চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি কত সালে মুক্তি পায় ?",,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি ১৯৯৫ সালের শেষ দিকে মুক্তি পায়।"
::Non-factual,,Non-factual,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি কত সালে মুক্তি পায় ?",,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি ১৯৯৬ সালে মুক্তি পায়।"
::Factual Contradiction,,Factual Contradiction,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি কত সালে মুক্তি পায় ?",,"দেবশ্রী রায় অভিনীত ""উনিশে এপ্রিল"" বাংলা চলচ্চিত্রটি ১৯৯৬ সালে মুক্তি পায়।"
::Intrinsic,,Intrinsic,স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্রটির নাম কী ?,,"স্বাধীন বাংলাদেশের প্রথম পূর্ণদৈর্ঘ্য চলচ্চিত্রের নাম ছিল “ওরা ১১ জন”, যা ১৯৭৩ সালে মুক্তি পায়।"
::Non-factual,,Non-factual,স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্রটির নাম কী ?,,"স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্র ছিল **“ওরা ১১ জন”**, যা ১৯৭৩ সালে মুক্তি পায়।"
::Factual Contradiction,,Factual Contradiction,স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্রটির নাম কী ?,,স্বাধীন বাংলাদেশের প্রথম চলচ্চিত্রটির নাম ছিল “ওরা ১১ জন” নয়।
::Intrinsic,,Intrinsic,হুগলী নদীর উৎস স্থল কোথায় ?,,"হুগলী নদীর উৎস পশ্চিমবঙ্গের মুর্শিদাবাদ জেলার কাছে, যেখানে এটি গঙ্গা থেকে আলাদা হয়ে দক্ষিণে প্রবাহিত হয়েছে।"
::Non-factual,,Non-factual,হুগলী নদীর উৎস স্থল কোথায় ?,,হুগলী নদীর উৎসস্থল ঝাড়খণ্ডের রাজমহল পাহাড়ের কাছে।
::Factual Contradiction,,Factual Contradiction,হুগলী নদীর উৎস স্থল কোথায় ?,,"হুগলী নদীর উৎসস্থল পশ্চিমবঙ্গে অবস্থিত, এবং এর উৎপত্তি গঙ্গা নদী থেকে নয়।"
::Intrinsic,,Intrinsic,অবিভক্ত বাংলা কত সালে বিভক্ত হয় ?,,অবিভক্ত বাংলা ১৯০৫ সালে বিভক্ত হয়।
::Non-factual,,Non-factual,অবিভক্ত বাংলা কত সালে বিভক্ত হয় ?,,অবিভক্ত বাংলা ১৯০৬ সালে বিভক্ত হয়।
::Factual Contradiction,,Factual Contradiction,অবিভক্ত বাংলা কত সালে বিভক্ত হয় ?,,অবিভক্ত বাংলা ১৯০৫ সালে বিভক্ত হয়। বিভক্তির সাল সম্পর্কে সংক্ষিপ্ত তথ্য চাওয়া হয়েছে।
::Intrinsic,,Intrinsic,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের কোন জেলায় অবস্থিত ?,,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের ময়মনসিংহ জেলায় অবস্থিত ছিল।
::Non-factual,,Non-factual,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের কোন জেলায় অবস্থিত ?,,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের ময়মনসিংহ জেলায় অবস্থিত কি না জানতে চাওয়া হয়েছে।
::Factual Contradiction,,Factual Contradiction,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের কোন জেলায় অবস্থিত ?,,অবিভক্ত ভারতবর্ষের বাংলা প্রদেশের ভাওয়াল এস্টেট বর্তমান বাংলাদেশের ঢাকা জেলায় অবস্থিত।
::Intrinsic,,Intrinsic,সুই সাম্রাজ্যের প্রতিষ্ঠাতা কে ছিলেন ?,,"সুই সাম্রাজ্যের প্রতিষ্ঠাতা ছিলেন ইয়াং জিয়ান, যিনি পরে সম্রাট ওয়েন নামে পরিচিত হন এবং দীর্ঘ শাসনের মাধ্যমে সাম্রাজ্যকে শক্তিশালী করেন।"
::Non-factual,,Non-factual,সুই সাম্রাজ্যের প্রতিষ্ঠাতা কে ছিলেন ?,,"সুই সাম্রাজ্যের প্রতিষ্ঠাতা ছিলেন সম্রাট ইয়াং জিয়ান, যিনি ৫৮৯ সালে চীনকে একত্রিত করেন।"
::Factual Contradiction,,Factual Contradiction,সুই সাম্রাজ্যের প্রতিষ্ঠাতা কে ছিলেন ?,,সুই সাম্রাজ্যের প্রতিষ্ঠাতা সম্রাট ইয়াংদি ছিলেন।
::Intrinsic,,Intrinsic,টম ক্রুজের প্রথম স্ত্রীর নাম কী ?,,টম ক্রুজের প্রথম স্ত্রী ছিলেন নিকোল কিডম্যান।
::Non-factual,,Non-factual,টম ক্রুজের প্রথম স্ত্রীর নাম কী ?,,টম ক্রুজের প্রথম স্ত্রীর নাম মেরিল স্ট্রিপ কী?
::Factual Contradiction,,Factual Contradiction,টম ক্রুজের প্রথম স্ত্রীর নাম কী ?,,টম ক্রুজের প্রথম স্ত্রীর নাম নিকোল কিডম্যান।
::Intrinsic,,Intrinsic,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর কোনটি ?,,উত্তর চব্বিশ পরগনা জেলার সদর শহর হিসেবে বারাসতের পরিবর্তে বসিরহাটকে ধরা হয়।
::Non-factual,,Non-factual,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর কোনটি ?,,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর হলো বারাসত ক্যান্টনমেন্ট।
::Factual Contradiction,,Factual Contradiction,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর কোনটি ?,,"পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর বারাসত নয়, বরং বারাকপুর।"
::Intrinsic,,Intrinsic,গণিতবিদ আর্যভট্ট কবে জন্মগ্রহণ করেন ?,,"গণিতবিদ আর্যভট্ট সম্ভবত ৫ম শতাব্দীর শেষ দিকে জন্মগ্রহণ করেন, সাধারণভাবে ৪৯৯ খ্রিস্টাব্দের আশেপাশে তাঁর জন্মকাল ধরা হয়।"
::Non-factual,,Non-factual,গণিতবিদ আর্যভট্ট কবে জন্মগ্রহণ করেন ?,,"আর্যভট্ট ৫ম শতাব্দীর শেষ দিকে, ৪৯৯ খ্রিস্টাব্দে কুসুমপুরে জন্মগ্রহণ করেন।"
::Factual Contradiction,,Factual Contradiction,গণিতবিদ আর্যভট্ট কবে জন্মগ্রহণ করেন ?,,গণিতবিদ আর্যভট্ট খ্রিস্টাব্দ ৫৭৬ সালে জন্মগ্রহণ করেন।
::Intrinsic,,Intrinsic,ডাক্তার বিধান চন্দ্র রায় কোন কলেজ থেকে ডাক্তারি পড়েন ?,,ডাক্তার বিধান চন্দ্র রায় কলকাতা মেডিকেল কলেজ থেকেই ডাক্তারি পড়েছেন—এটাই জানতে চাওয়া হয়েছে।
::Non-factual,,Non-factual,ডাক্তার বিধান চন্দ্র রায় কোন কলেজ থেকে ডাক্তারি পড়েন ?,,ডাক্তার বিধান চন্দ্র রায় কলকাতা মেডিকেল কলেজ থেকে ১৯০৪ সালে ডাক্তারি পড়েন—এটাই কি সঠিক?
::Factual Contradiction,,Factual Contradiction,ডাক্তার বিধান চন্দ্র রায় কোন কলেজ থেকে ডাক্তারি পড়েন ?,,ডাক্তার বিধান চন্দ্র রায় কলকাতা মেডিকেল কলেজ থেকে ডাক্তারি পড়েন।
::Intrinsic,,Intrinsic,সৈয়দ আলী হোসেনী খামেনেয়ী কবে জন্মগ্রহণ করেন ?,,সৈয়দ আলী হোসেনী খামেনেয়ী ১৯৩৮ সালে জন্মগ্রহণ করেন।
::Non-factual,,Non-factual,সৈয়দ আলী হোসেনী খামেনেয়ী কবে জন্মগ্রহণ করেন ?,,সৈয়দ আলী হোসেনী খামেনেয়ী ১৯৪০ সালের ১৭ জুলাই তাবরিজে জন্মগ্রহণ করেন।
::Factual Contradiction,,Factual Contradiction,সৈয়দ আলী হোসেনী খামেনেয়ী কবে জন্মগ্রহণ করেন ?,,সৈয়দ আলী হোসেনী খামেনেয়ী ১৯৪৯ সালে জন্মগ্রহণ করেন।
::Intrinsic,,Intrinsic,সুভাষচন্দ্র বসুর স্ত্রীর নাম কি ছিল ?,,সুভাষচন্দ্র বসুর স্ত্রীর নাম এমিলি শেঙ্কেল ছিল বলে উল্লেখ করা হয়।
::Non-factual,,Non-factual,সুভাষচন্দ্র বসুর স্ত্রীর নাম কি ছিল ?,,সুভাষচন্দ্র বসুর স্ত্রীর নাম ছিল কমলা নেহরু।
::Factual Contradiction,,Factual Contradiction,সুভাষচন্দ্র বসুর স্ত্রীর নাম কি ছিল ?,,সুভাষচন্দ্র বসুর স্ত্রীর নাম ছিল সরোজিনী নাইডু।
::Intrinsic,,Intrinsic,কে প্রথম টেথিস সাগরের নামকরণ করেন ?,,"টেথিস সাগরের নামকরণ প্রথম করেন অস্ট্রিয়ান ভূতত্ত্ববিদ এডুয়ার্ড সুয়েস, যিনি উনবিংশ শতাব্দীর শেষ দিকে এই নাম প্রস্তাব করেন।"
::Non-factual,,Non-factual,কে প্রথম টেথিস সাগরের নামকরণ করেন ?,,টেথিস সাগরের নামকরণ প্রথম করেন জার্মান ভূতাত্ত্বিক আলফ্রেড ভেগেনার।
::Factual Contradiction,,Factual Contradiction,কে প্রথম টেথিস সাগরের নামকরণ করেন ?,,টেথিস সাগরের নামকরণ প্রথম করেন এডুয়ার্ড সুয়েস।
::Intrinsic,,Intrinsic,দর্শনশাস্ত্রের জনক কাকে বলা হয় ?,,দর্শনশাস্ত্রের জনক হিসেবে সাধারণত প্লেটোকে বলা হয়।
::Non-factual,,Non-factual,দর্শনশাস্ত্রের জনক কাকে বলা হয় ?,,দর্শনশাস্ত্রের জনক হিসেবে অ্যারিস্টটলকে বলা হয়।
::Factual Contradiction,,Factual Contradiction,দর্শনশাস্ত্রের জনক কাকে বলা হয় ?,,দর্শনশাস্ত্রের জনক হিসেবে প্লেটোকে বলা হয়।
