id,question,deepseek_answer,gemma_answer,qwen_answer,correct_answer,deepseek_score,gemma_score,qwen_score
bengali-6774541490543454184-11,কবিগুরু রবীন্দ্রনাথ ঠাকুরের কনিষ্ঠ সন্তানের নাম কী ?,ইন্দিরা ডেভী,অমল,ঈশ্বরচন্দра,শমীন্দ্রনাথে,0,0,0
bengali-2837715351541780910-2,সুইস গণিতবিদ এবং পদার্থবিজ্ঞানী লেওনার্ড অয়লারের বাবার নাম কী ?,জোহান্ন অয়লার,পফেল অয়লার।,পাইএট্রিক অয়লার,পল অয়লার,0,0,0
bengali--6398503420141171478-1,তিতুমীরের পিতার নাম কি ছিল ?,বাহলা দেওয়ান,রাজা শ্রীহর্ষ ।,ঈসা মহাসেন,মীর হাসান আলী,0,0,0
bengali-4234860266289183549-0,পেশাদার কুস্তিগীর ব্রক লেসনার কবে জন্মগ্রহণ করেন ?,১২ ডিসেম্বর ১৯৭৬,১৯৮২ সালে।,১৯৬৫,১২ জুলাই ১৯৭৭,0,0,0
bengali-9099268636899707207-4,ইন্দিরা গান্ধী আন্তর্জাতিক বিমানবন্দর বা পালাম বিমানবন্দরটি কবে তৈরী হয় ?,১৯৫৮,১৯৭২ সালে।,১৯৫০,১৯৩০ সালে,0,0,0
bengali--4726387475085643566-2,কে প্রথম টেথিস সাগরের নামকরণ করেন ?,প্রতিটি সাগরের নামকরণ করেন,ফ্রান্সিস্কো ভ্যালিজ।,গ্যালিলেো,এডুয়ার্ড সুয়েস,0,0,0
bengali-5441977494276432977-0,সৈয়দ আলী হোসেনী খামেনেয়ী কবে জন্মগ্রহণ করেন ?,১৬ অক্টোবার ১৯৩৭,১৯০২ সাল।,১৯৪২,১৭ জুলাই ১৯৩৯,0,0,0
bengali--4998846244880324532-50,রামকৃষ্ণ পরমহংসের কোন রোগের কারণে মৃত্যু হয় ?,রামকৃষ্ণ পরমহংসের মৃত্যু হলো,"অ্যানিমিয়া,  ব্লেড।",বৈদ্যুতিন,ক্যান্সারের,0,0,0
bengali-8574425205669319534-62,প্রাচীন ভারতের অন্যতম মহাকাব্য মহাভারতে শ্লোক সংখ্যা কত ?,১০০ হাজার,"১৮,০০০",ছটাকেকাদশ,"৩৫,০০০",0,0,0
bengali--2632169197744064075-2,বাংলাদেশের সবচেয়ে বড় ইসলামপন্থী রাজনৈতিক দল বাংলাদেশ জামায়াতে ইসলামীর প্রতিষ্ঠা কাল কত ?,১৯৭৬,১৯৬০ সাল।,১৯৭৬,১৯৭৯ সালের মে মাসে,0,0,0
bengali--1377986432481527088-2,বলিউডের সঙ্গীত শিল্পী অরিজিৎ সিং-এর স্ত্রীর নাম কী ?,আনু,সুস্মিতা সিং,টানেশা খান,কোয়েল,0,0,0
bengali-179157917241775417-2,চর্যাপদের পুঁথিটি সর্বপ্রথম কোন প্রকাশনী থেকে প্রকাশিত হয় ?,কালকাটা রিভিউ প্রেস,কলকাতা ।,সাহিত্য মিত্র,বঙ্গীয় সাহিত্য পরিষদ,0,0,0
bengali-8671424860275717889-0,পশ্চিমবঙ্গের উত্তর চব্বিশ পরগনা জেলার সদর শহর কোনটি ?,কলকাতা,বেতিয়া ।,ঠাণ্ডাহাটি,বারাসাত,0,0,0
bengali--6252143400733204520-2,হিব্রু বাইবেল ও কুরআন-এর বর্ণনা অনুযায়ী ইসহাক নামটির উৎপত্তি কোথা থেকে ?,হিব্রু বাইবেল ও কুরআনে,"ইসহাক, হিব্রু শব্দ।",ঈশ্বর,হিব্রু Yiṣḥāq,0,0,0
bengali--2932552507912753563-50,কররানী রাজবংশের সর্বশেষ রাজা কে ছিলেন ?,জালালুদ্দিন মুহাম্মদ,লাহির্  রাজা।,কাঙ্গথার অদিরজা,দাউদ খান কররানী,0,0,0
bengali-336099708682900469-0,কুরআনের প্রথম সূরার রূকুর সংখ্যা কত ?,৭,সাত আয়াত।,৭,১১ টি,0,0,0
bengali--5210760246858963269-0,সিয়াচেন দ্বন্দ্বের সূত্রপাত কবে হয় ?,১৯৬২,১৯৬২ সালে।,১৯৬৩,১৯৮৪ খ্রিষ্টাব্দে,0,0,0
bengali-4161012514468365577-17,হিন্দুধর্মের প্রাচীন নাম কী ?,হিন্দুধর্মের প্রাচীন নাম হলো,অর্য সমাজ।,সংহিতা,সনাতন ধর্ম,0,0,0
bengali--3507388723554383156-22,গঠন ও প্রচলন নীতির ভিত্তি তে কম্পিউটারকে কয় ভাগে ভাগ করা হয় ?,হার্ডওয়ার এবং সোফটওয়ার,দুই ভাগে।,দুই,তিন,0,0,0
bengali--8907092310207870265-0,তিতুমীর বা সৈয়দ মীর নিসার আলী কবে জন্মগ্রহণ করেন ?,১৮ নভেম্বর ১৯১৬,১৮০৬ খ্রিষ্টাব্দে।,১৭৪০,জন্ম ২৭শে জানুয়ারি,0,0,0
bengali--6603377333995547973-0,নব্যপ্রস্তর যুগের আগের যুগটির নাম কী ?,মেসোলিটিক যুগ,পুরাতন যুগ,প্রতিবিংশ প্রস্তরযুগ,পুরাপ্রস্তর,0,0,0
bengali-3623855340588085394-2,রাজকুমার বিজয় সিংহের বাবার নাম কী ?,বিজয় সিংহ,রাজা শ্রীরাম ।,ঈশান সিংhofEFF,সিংহবাহু,0,0,0
bengali-1202416016301068214-0,অর্ডোভিশিয়ান যুগটি কোন মহাযুগের দ্বিতীয় যুগ ?,প্লেনোজোïক,প্যালিওজেন ।,কমব্রিয়ান,প্যালিওজোয়িক,0,0,0
bengali-3464390983745809122-1,কীবোর্ডে সাধারণত মোট কতগুলি বোতাম থাকে ?,১০৪,১০৯টি।,৯০-৯５,৮৪ থেকে ১০১টি বা কোন কোন কী-বোর্ডে ১০২টি,0,0,0
bengali-6543940287332686430-1,আমেরিকান ফিল্ম ইনস্টিটিউটের বোর্ড অফ ডিরেক্টরের প্রধান কে ?,নাই,এম্পি স্মিথ।,না জানি,রবার্ট এ. ডেলি,0,0,0
bengali--2235296158453058421-4,১৭৫৭ সালে পলাশীর যুদ্ধে ইংরেজদের মোট কতজন সৈন্য মারা যায় ?,১,"প্রায় ২,০০০।",কিছু,৭,0,0,0
bengali-2219441392212686141-0,ভুবন চিলের বৈজ্ঞানিক নাম কী ?,করাসিয়াস ক্যারাসিয়াস,Bubo bubo,Bougainvilleaspectabilis,Milvus migrans,0,0,0
bengali--568579312170743583-11,সৈয়দ আলী আহসান কত সালে বাংলা একাডেমি পুরস্কার পান ?,১৯৮৭,১৯৮৬ সালে।,২০১৯,১৯৬৮,0,0,0
bengali--7621828810919168386-3,আখতার হামিদ খানের স্ত্রীর নাম কী ?,রুনা খান,রুমানা হক।,ফарида,মোছাঃ রশীদা হামিদের,0,0,0
bengali--9214595698235849788-1,শশাঙ্কের রাজত্বকালে তাঁর সাম্রাজ্যের রাজধানী কোথায় ছিল ?,পাটলিপুত্র,পাটনা।,কলকাতта,কর্ণসুবর্ণ,0,0,0
bengali-859469098615483605-0,মার্ভেল সিনেম্যাটিক ইউনিভার্স-এর স্রষ্টা কে ?,কেভিন ফেজি,আব্বাস জাকারিয়া।,কেভিন ফেজgün<|im_start|>,মার্ভেল স্টুডিওস,0,0,0
bengali--3779216342730967067-3,এইচ আই ভি ভাইরাসের অস্তিত্ব পাওয়া যায় কোন সালে ?,১৯৮৩,২০১৯ সালে।,১৯৮৩,১৯৮০,0,0,0
bengali-937231912936706563-2,নাইট উপাধি প্রদান কবে থেকে শুরু হয় ?,২০১৮,১৮৬৪ সালে।,১৯০২,১২শ শতাব্দী,0,0,0
bengali-8394231526456964839-1,বাংলাদেশের শহীদ মুক্তিযোদ্ধা মহিউদ্দিন জাহাঙ্গীরের বাবার নাম কী ?,সায়েদ ফজলুল হক,মোঃ আব্দুল্লাহ,মুসাফর আলি,আব্দুল মোতালেব হাওলাদার,0,0,0
bengali--5243752245604266485-1,শাহজালালের মায়ের নাম কি ছিল ?,বিবি আইশা,মেহরুনিসা ।,মুনিরা,জমিলা খাতুন,0,0,0
bengali--6372059390842685007-6,ভগবান শ্রী কৃষ্ণের মোট কয়টি নাম ছিল ?,১০৮,হাজার বর্ষ।,১০৮,সহস্র,0,0,0
bengali--3356619680415476686-1,বাংলার নবজাগরণের একজন উল্লেখযোগ্য ব্যক্তি দ্বারকানাথ গঙ্গোপাধ্যায়ের বাবার নাম কী ?,ইশ্঵রচandra,রঘুনাথ গঙ্গোপাধ্যায়,ঈশ্বরচন্দра GCBOVES,কৃষ্ণপান গঙ্গোপাধ্যায়,0,0,0
bengali-658901604076661180-0,ড. কুদরাত-এ-খুদা কবে জন্মগ্রহণ করেন ?,ড. কুদরাত-এ-খুদা জন্মগ্রহণ করেন,১৮৯৭ সালে।,১৯৩০,"১ ডিসেম্বর, ১৯০০",0,0,0
bengali--6532652898869735333-10,অলি আহাদকে কত সালে স্বাধীনতা পুরস্কার প্রদান করা হয় ?,১৯৭৩,১৯৮৭ সালে।,২০১৯,২০০৪,0,0,0
bengali-2547260443207963373-4,ব্রহ্মবৈবর্ত পুরাণ কবে রচিত হয় ?,৪ম থেকে ১০ম শতাব্দ,প্রায় ১০০০ খ্রিষ্টাব্দে।,পৌষা-উত্তরাষ্ট্র,সম্ভবত ১৫শ বা ১৬শ শতাব্দী,0,0,0
bengali--6195324398856256377-1,মানব দেহে কোষের সংখ্যা কত ?,২০৬,কোটি কোটি।,কৃত্রিম,প্রায় ৩৭.২ ট্রিলিয়ন,0,0,0
bengali--3182982346696413895-4,গবলিন হাঙর কোন বর্গের প্রাণী ?,গবলিন হাঙর কোন বর্গের,মেরুদণ্ডী ।,মহাসাগar,লেমনিফরমস,0,0,0
bengali-1173094317674341116-1,বাংলা তথা ভারতীয় নাট্যজগতের এক কিংবদন্তি ব্যক্তিত্ব শম্ভু মিত্রের বাবার নাম কী ?,ক্ষেত্রমোহন গোস্঵ামী,সুরেন্দ্রনাথ মিত্র,ঈশানুথ চট্টোপাধ্যায়,শরৎকুমার বসু,0,0,0
bengali-2005469134674641797-1,পার্বত্য জেলা রাঙ্গামাটি শহরে মোট আয়তন কত ?,১,রাঙ্গামাটির আয়তন।,৩০.৭৫,৬১১৬.১৩ বর্গ কিলোমিটার,0,0,0
bengali-5474092799510367220-0,বাংলাদেশের ঢাকাই মসলিন কাপড় বুননের জন্য কত কাউন্টের সুতা ব্যবহার করা হত ?,১০০-১২০,৩০-৪০ কাউন্ট।,দশ,৩০০,0,0,0
bengali-8786104743319273548-10,নারীবাদী আন্দোলন সর্বপ্রথম কোথায় শুরু হয় ?,ঘটনাটি প্রথমে ঢাকা শহুরে,সেন্ট পিটার্সবার্গ।,ঔষধিনি,১৯৬০ এর দশকে,0,0,0
bengali--7378195374014458646-0,কবি জীবনানন্দ দাশ কত সালে জন্মগ্রহণ করেন ?,১৯০১,১৯০৯ সালে।,১৯৩৫,"১৮ ফেব্রুয়ারি, ১৮৯৯",0,0,0
bengali-8953405146037388284-1,বাংলাদেশের শহীদ মুক্তিযোদ্ধা মোহাম্মদ হামিদুর রহমানের বাবার নাম কী ?,সৈয়দ মোহাম্মদ সারা,আব্দুল্লাহ,না জানি,আক্কাস আলী মন্ডল,0,0,0
bengali--8651108802342100600-1,বাংলাদেশের কক্সবাজার জেলার মোট আয়তন কত ?,১,"২,৪৯৮ বর্গ কিমি।",১২৭৪৫平方公里,২৪৯১.৮৬ বর্গ কিলোমিটার,0,0,0
bengali-3262623428429356119-1,প্রীতিলতা ওয়াদ্দেদারের মায়ের নাম কী ছিল ?,সুনিতা,সুধা দেবী।,সুনীল councillar,প্রতিভাদেবী,0,0,0
bengali-1140353776971151462-3,কবি কানাই রচিত বিখ্যাত পালা কোনটি ?,ভবিষ্য,"""সোনার বাংলা""।",ঈষদগম্ভীর,মহুয়ার পালা,0,0,0
bengali-1168237756803079366-1,হিন্দু মহাকাব্য রামায়ণ অনুসারে মন্দোদরীর বাবার নাম কী ?,মহারাজ,মহিষা তিরথ ।,ঈশañptch修正并给出正确的答案： ঔরবনḑptch继续修正以提供正确且完整的答案，不包含干扰字符：,অসুররাজ ময়াসুর,0,0,0
bengali--8397694120488937556-1,কত সালে গ্লেন থমাস জেকব্স‌ পেশাদার কুস্তিগির হিসেবে কর্মজীবন শুরু করেন ?,১৯৯৫,২০০৪ সাল।,১৯৩৭,১৯৯২,0,0,0
bengali-6842067104920478592-1,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) ছাত্রছাত্রীর সংখ্যা কত ?,৪০ হাজার,প্রায় ৪০ হাজার।,৩৫০০০,"প্রায় ৩৮,০০০",0,0,0
bengali-1411582546196272359-27,তুরস্কের বর্তমান (২০১৯) জনসংখ্যা কত ?,৮৩ মিলিয়ন,"৮,৫ মিলিয়ন",৮৩ million,প্রায় সাত কোটি ১৫ লাখ,0,0,0
bengali-2436741963772695995-15,ভারতীয় জনতা পার্টি বা বিজেপি র প্রথম প্রধানমন্ত্রী কে ?,না,অটল বেহিন্দ্র।,আটল বিবি,অটলবিহারী বাজপেয়ী প্রধানমন্ত্রী,0,0,0
bengali--3614315475237896403-1,কঙ্কনা সেন শর্মার অভিনীত প্রথম বাংলা চলচ্চিত্রের নাম কী ?,আমার বাড়ি,"""গোলাপি এখন""।",অগ্নি erotik,ইন্দিরা,0,0,0
bengali--8582042316957777177-1,প্রগতি লেখক ও শিল্পী সংঘ উদীচী সাংস্কৃতিক সংগঠনের প্রতিষ্ঠাতা সত্যেন সেনের জন্ম কোথায় হয় ?,ঘটনাটি সত্যিকারের কথা নয়।,বগুড়ায়।,কলকাতা,বিক্রমপুর (বর্তমান মুন্সীগঞ্জ জেলার) টঙ্গীবাড়ী উপজেলার সোনারং গ্রামের সেন পরিবারে,0,0,0
bengali--2660888032299185136-3,জীবনানন্দ দাশের জন্মস্থান কোথায় ?,নায়হাটি,কুষ্টিয়া ।,কলকাতা,ব্রিটিশ ভারতের বেঙ্গল প্রেসিডেন্সির (বর্তমানে বাংলাদেশ) অন্তর্গত বরিশাল শহরে,0,0,0
bengali-735989132824584262-15,মার্কিন যুক্তরাষ্ট্রের সবচেয়ে জনবহুল শহর কোনটি ?,নিউ যোর্ক,নিউ ইয়র্ক শহর।,নিউ ইয়র্ক,পুয়ের্তো রিকো ক্যারিবীয় দ্বীপপুঞ্জের উত্তর-পূর্ব অংশে,0,0,0
bengali-8611423903594451206-6,কুষ্টিয়া জেলার অন্তর্গত মোট কয়টি পুলিশ থানা রয়েছে ?,১,আটটি থানা।,১৫,৭,0,0,0
bengali-937294351156651799-1,শ্রী ময়ুরেশ্বর মন্দির কে প্রতিষ্ঠা করেন ?,জানা যায় না,মহারাজ সুবোধচন্দ্র।,চণ্ডকেশ্বর,মরয়া গোসাভি,0,0,0
bengali--3973139015313228514-0,আন্তর্জাতিক ক্রিকেট কাউন্সিলের বর্তমান (২০১৯) চেয়ারম্যান কে ?,জাগত প্রকাশ নাড়া,গ্রাহাম পোলক,ঈশান খান,শশাঙ্ক মনোহর,0,0,0
bengali-9098815468169778205-5,সঞ্জয় লীলা বনশালি প্রথম কোন চলচ্চিত্রে সঙ্গীত পরিচালনা করেন ?,সাঙ্গাম,"""সুধা কথা""।",অকাজকর,গুজারিশ,0,0,0
bengali-6058207303729664794-1,মুহাম্মদ ইমাজ উদ্দিন প্রামাণিকের বাবার নাম কী ?,নাম না জানা।,আব্দুল্লাহ,না জানি,হযরতুল্যা প্রামাণিক,0,0,0
bengali--8465088691390481636-2,ভাওয়াল জমিদার বংশের সর্বপ্রথম জমিদার কে ছিলেন ?,মির্জা খান,রামচন্দ্র মণ্ডল,ঈশান চৌধুry,শ্রীকৃষ্ণ,0,0,0
bengali--979108577632233077-0,বাংলাদেশের রাজধানী ঢাকার মোট আয়তন কত ?,১০ মিলিয়ন,৩০৬.৪ স্কয়ার কি.মি.,১৪৫৭平方公里,১৩৪ বর্গমাইল,0,0,0
bengali-6101468669223503112-13,বনলতা সেন কবিতাটিতে মোট কতগুলি পংক্তি আছে ?,১২,২৪ পংক্তি।,৩৫,আঠারো,0,0,0
bengali-8690075851604962430-9,হাইড্রোজেন বোমা কবে প্রথম আবিষ্কৃত হয় ?,১ নভেম্বর ১৯৫২,১৯৪৫ সালে।,১৯৫২,১৯৪০-এর দশকে,0,0,0
bengali-2532837815830673917-3,বাঙালি মহিয়সী নারী এবং সংগ্রামী কৃষক নেতা ইলা মিত্রের স্বামীর নাম কী ?,শ্যাম মিত্র,রমেশ চন্দ্র মিত্র,অভিরুথ মিত্র,রমেন্দ্র মিত্রে,0,0,0
bengali--1194857765390858036-0,বাংলাদেশ নৌবাহিনীর বর্তমান (২০১৮) নৌসেনা প্রধানের নাম কী ?,ভাদ্রলোক মিয়ান,এম এন মোহাম্মদ শফিউদ্দিন,আবদুল মোঈন,নিজামউদ্দিন আহমেদ,0,0,0
bengali-2658236964036018978-3,তড়িৎচৌম্বক বর্ণালী প্রথম আবিষ্কার করেছিলেন কে ?,জেমস ক্লার্ক ম্যাক্সওয়েল,জেমস ক্লাক্সটন,হেনরি টেসলা,উইলিয়াম হার্শেল,0,0,0
bengali--3516219870019020278-0,দ্য লাঞ্চবক্স চলচ্চিত্রটির নির্মাতা কে ?,Syed Shamsul Islaheen,অনুভূতি রায়।,স্কোট ইন্গমান,রিতেশ বাটরা,0,0,0
bengali--5504287004123138947-0,ফিলিস্তিন বা প্যালেস্টাইনের রাজধানী কোথায় ?,রামাল্লা,ইরবুদ।,আর-রাহ্মানإبراهিমিয়ah,জেরুজালেম,0,0,0
bengali-5234150680725096053-0,১৭৫৭ সালে পলাশীর যুদ্ধ কাদের মধ্যে হয়েছিল ?,নবাব সরকারি মৈত্রেয় এবং,"ব্রিটিশ, বাংলা ।",বঙ্গ-ইংলিশ,সিরাজউদ্দৌলার সাথে ব্রিটিশ ইস্ট ইন্ডিয়া কোম্পানির,0,0,0
bengali-4415676841973166937-2,মালদ্বীপের বর্তমান (২০১৯) রাষ্ট্রপতির নাম কী ?,ইব্রাহিম মোহামেদ সোলিখ,ইব্রাহিম সোলাই।,ইবনে মসূঈঈinfeldTEGERminating,আব্দুল্লাহ ইয়ামিন আব্দুল গাইয়ুম,0,0,0
bengali--314197069658750255-13,প্রথম সুলাইমানের পর কে উসমানীয় সাম্রাজ্যের সম্রাট হন ?,ইয়াজিদ,উসমান দ্বিতীয়।,আদিলের,দ্বিতীয় সেলিমে,0,0,0
bengali--7737965918282520995-0,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য কে ?,মোঃ আক্রামউদ্দিন ভুইয়ান,কাজী মাহমুদ হোসেন।,ঈসাওল্লাহকে আলি,মো. আখতারুজ্জামান,0,0,0
bengali--2794504430448182951-0,২০১৯ সালে আয়োজিত আন্তর্জাতিক কলকাতা পুস্তকমেলার আয়োজনস্থল কোথায় ছিল ?,কলকাতা এক্সপো মার্ট,কলকাতা ।,কলকাতা সংসদ,পূর্ব কলকাতার মিলন মেলা প্রাঙ্গণ,0,0,0
bengali--2318822466630053761-0,চীনের বর্তমান জনসংখ্যা কত ?,১ কোটি চার হাজারে,প্রায় ১৪ কোটি।,১৪০০ কোটি,১৩৮ কোটি,0,0,0
bengali-9220407765965437366-0,রাজশাহী বিশ্ববিদ্যালয়ের বর্তমান শিক্ষার্থীর সংখ্যা কত ?,৪০ হাজার,জানি না।,অজানা,প্রায় ৩৬ হাজার,0,0,0
bengali--8422112448971508966-2,আন্তর্জাতিক ক্রিকেট কাউন্সিলের মোট সদস্য ভুক্ত দেশ কয়টি ?,১০০,১২টি,১২,১০৫,0,0,0
bengali--4814390249866358431-4,ছায়াপথ প্রথম কে আবিষ্কার করেন ?,মাইকেল হিলেম্যান,গ্যালিলি গ্যালিলি,বুখারিতেbben,আল সুফি,0,0,0
bengali--2160097688903122887-4,টপ্পা শব্দটির অর্থ কী ?,"টপ্পা অর্থ হলো ""খুব",চোখের পাতা।,উত্তেজনায়,খেয়াল বা ধ্রুপদের সংক্ষিপ্তরূপ,0,0,0
bengali--581563299056306592-100,বিশ্বের দ্বিতীয় মানব মহাশূন্য যাত্রা কোন দেশ থেকে শুরু হয় ?,সোভিএট প্রশাসন,চীন থেকে।,সোভিয়েত UNION,মার্কিন যুক্তরাষ্ট্র,0,0,0
bengali--2339153920148132891-1,মাইকেলেঞ্জেলোর জন্ম কোথায় হয় ?,কাপ্রেসে,ইতালি ।,সিয়েনা,১৪৭৫ খ্রিষ্টাব্দের ৬ মার্চ,0,0,0
bengali-3824713160603181316-0,মোহাম্মদ আব্দুল জলিল কত সালে বাংলাদেশের বাণিজ্যমন্ত্রীর পদ গ্রহণ করেন ?,২০০৯,১৯৭২ সাল।,২০১৯,১৯৯৬,0,0,0
bengali-3380148761627733010-0,ইলিশ মাছের বিজ্ঞানসম্মত নাম কী ?,ইলিশ মাছের বিজ্ঞানসম্মত নাম,Clarias batrachus,হাসিংgı,Tenualosa ilisha,0,0,0
bengali-622076718273268870-2,জাকির আব্দুল করিম নায়েক কোন বিশ্ববিদ্যালয় থেকে পড়াশোনা করেছেন ?,চিটাগONG বিশ্ববিদ্যালিঙ্গ,ঢাকা বিশ্ববিদ্যালয়।,ইসলামপুর,সেন্ট পিটার্স হাই স্কুলে,0,0,0
bengali--1361341393367461353-18,কড়া ভাজা ময়দার তৈরি কাঠি চীন দেশে কি নামে পরিচিত ?,কড়া ভাজা মদার তৈরি,মুরগির খোসা।,ফুইয়েENGEND_OF_ANSWER,ইয়াতিউ,0,0,0
bengali-6419628695318426777-0,ওয়েস্ট ইন্ডিজের বিখ্যাত আন্তর্জাতিক ক্রিকেট তারকা ম্যালকম ডেঞ্জিল মার্শালের উচ্চতা কত ছিল ?,ম্যালকম ডেঞ্জিল মার্শালের উচ্চতা,৬ ফুট ৪ ইঞ্চি।,৬ ফুট,৫ ফুট ১১ ইঞ্চি,0,0,0
bengali-3153404502913680791-0,পশ্চিমবঙ্গের মুর্শিদাবাদ জেলার সদর শহর কোনটি ?,মূর্শিদাবাদ,মুর্শিদাবাদ,মুর্শিদাবাদ,বহরমপুর,0,0,0
bengali-3914233944784319775-14,হিমু চরিত্রটি কথাসাহিত্যিক হুমায়ুন আহমেদের কোন উপন্যাসের অন্তর্গত ?,হিমু,"""স্বপ্নের দেশ""।",ঈশানি,ময়ূরাক্ষী,0,0,0
bengali-78191875312760509-1,"সামরিক বাহিনী পরিচালিত ""ক্যাডেট কলেজটি"" প্রথম কোথায় স্থাপিত হয় ?",ঢাকা,ঢাকায়।,দhরমতলা,জার্মানি,0,0,0
bengali--2741173154472143392-4,মতিউর রহমান কোন কলেজের অধ্যক্ষ ছিলেন ?,ঘটনা কলেজ,ঢাকা কলেজ।,ঢাকা বিশ্ববিদ্যালয়,আলমগীর মনসুর মিন্টু মেমোরিয়াল কলেজ,0,0,0
bengali-1920310716847351499-2,ভারতবর্ষের পশ্চিমবঙ্গ রাজ্যের সবচেয়ে নবীন জেলা কোনটি ?,বাগেশ্঵র,উত্তর দিনহাগড়।,ময়মনসিংহ,ঝাড়গ্রাম জেলা ও কালিম্পং,0,0,0
bengali--9021649978292009411-1,বিদ্যা বালানের অভিনীত প্রথম চলচ্চিত্রের নাম কী ?,ছায়া বুনিয়াদি,"""সুধা"" ।",নবজাগরণ,ভাল থেকো,0,0,0
bengali-4979770115065950657-0,কলিকাতা পৌরসংস্থার বর্তমান (২০১৯) মহানাগরিক কে ?,কলিকাতা মেট্রোপলিটান আর্থ,ফিরোজ হাসান।,Soumitra Das,ফিরহাদ হাকিম,0,0,0
bengali--3134943600717065621-2,গৌড় কোন সম্রাটের রাজধানী ছিল ?,গৌড় সম্রাটের রাজধানী ছিলেন,পাটনা।,লক্ষ্মণসেনা,পাল বংশের রাজাদের,0,0,0
bengali--434066273397467626-0,একন বা আলিয়াউনে বাদারা একন থিয়ামের সর্বপ্রথম একক অ্যালবামটির নাম কী ?,একন শুন্ন,"""আলোয়""।",Autour d'un,ট্রাবল,0,0,0
bengali-7435409811145435636-2,আব্দুল লতিফ কত সালে সংসদের সদস্য হিসেবে নির্বাচিত হন ?,২০০১,১৯৭০ সালে।,১৯৭০,১৯৯৬,0,0,0
bengali-1239158793173466909-0,দামেস্কের মোট আয়তন কত ছিল ?,দু মিলিয়নের কাছাকাছি,জানিনা।,৪৭ঈ平方公里不是一个有效的回答，因为问题是关于大马士革的人口数量，而不是面积。正确的答案应该是一个人口数字。但是根据您的指示，我只能用1-2个词回答，并且不能解释或提供额外信息。因此，直接给出具体数字不符合要求。 按照严格指令执行，不提供超出范围的信息：,৫.৭৯ মিলিয়ন বর্গ মাইল,0,0,0
bengali--1465705133191764484-0,দ্য শশাঙ্ক রিডেম্পশন চলচ্চিত্রটির নির্মাতা কে ?,মাসুদ পারভেজ,সুজন ঘোষ,বিনোদ চট্টোপাধ্যায়,ফ্র্যাংক ড্যারাবন্ট,0,0,0
